"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","売上高","85,218,073","114,403,115","87,390,157","86,400,707","74,160,051","82,837,335","77,651,149","91,431,828","102,881,843","90,652,041","92,126,646","101,647,238"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","85,468,073","114,653,115","87,640,157","86,650,707","74,410,051","83,087,335","77,901,149","91,681,828","103,131,843","90,902,041","92,376,646","101,897,238"
"5111","期首棚卸高","39,659,620","39,647,117","30,896,638","40,978,267","30,479,774","30,945,444","34,262,936","30,480,976","29,893,518","33,509,166","34,940,617","37,381,542"
"5211","商品仕入高","0","58,821","1,875","182,000","0","0","65,800","174,945","35,800","37,800","150,000","0"
"5212","通信商品仕入高","60,574,790","76,842,950","70,830,860","54,062,884","53,092,554","60,390,586","48,652,126","64,833,856","76,135,983","63,715,299","67,859,265","65,687,187"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","39,647,117","30,896,638","40,978,267","30,479,774","30,945,444","34,262,936","30,480,976","29,893,518","33,509,166","34,940,617","37,381,542","32,921,765"
,"当期売上原価","60,587,293","85,652,250","60,751,106","64,743,377","52,626,884","57,073,094","52,499,886","65,596,259","72,556,135","62,321,648","65,568,340","70,146,964"
,"売上総利益","24,880,780","29,000,865","26,889,051","21,907,330","21,783,167","26,014,241","25,401,263","26,085,569","30,575,708","28,580,393","26,808,306","31,750,274"
"6111","給与手当","10,229,454","10,511,187","11,623,137","10,849,059","10,618,114","10,662,891","9,967,941","9,968,033","11,266,517","10,486,280","10,527,887","11,622,774"
"6311","雑給","611,872","690,725","660,045","640,160","661,638","633,155","865,896","935,930","1,011,530","991,456","826,623","1,032,986"
"6112","旅費交通費","183,558","206,960","194,487","190,151","200,599","211,526","213,197","222,293","306,177","295,374","307,796","273,903"
"6113","広告宣伝費","381,661","704,809","135,347","360,861","103,444","256,978","156,708","305,751","256,582","277,955","518,959","379,273"
"6114","販売促進費","547,642","526,552","746,634","566,138","846,983","824,942","1,601,020","1,537,239","1,359,599","1,907,186","1,374,113","1,202,981"
"6115","荷造発送費","6,430","1,580","1,686","5,060","1,680","1,040","2,740","0","109","4,407","1,040","4,085"
"6116","外注費","3,332,976","3,722,852","2,912,668","1,770,030","1,671,113","3,673,313","4,833,047","3,644,949","3,188,041","2,569,203","3,356,151","2,222,564"
"6117","支払手数料","877,108","581,404","891,929","754,385","984,033","1,115,231","1,056,382","843,214","1,340,527","850,009","1,367,045","1,352,535"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
