ｺｰﾄﾞ,勘定科目名,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 11月累計
4111,売上高,"115,123,355","102,748,347","85,880,740","118,892,612","86,960,328","90,069,921","74,823,132","90,829,656","92,167,644","96,310,575","95,782,378","90,559,025","186,341,403"
4112,賃貸料収入,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","500,000"
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,"127,658,567","110,276,140","99,156,892","142,252,470","101,193,568","96,647,512","83,180,104","94,380,254","100,071,446","105,024,260","99,247,919","101,565,199","200,813,118"
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"243,031,922","213,274,487","185,287,632","261,395,082","188,403,896","186,967,433","158,253,236","185,459,910","192,489,090","201,584,835","195,280,297","192,374,224","387,654,521"
5111,期首たな卸高,"14,324,118","14,747,318","14,352,355","14,924,341","14,515,967","13,961,891","12,321,267","13,108,186","14,533,136","13,726,618","14,916,959","15,593,236","30,510,195"
5211,商品仕入高,"106,310,193","95,083,452","79,884,472","110,572,952","81,344,832","83,731,062","68,332,182","83,118,275","84,601,380","88,585,842","88,690,264","84,327,589","173,017,853"
5212,通信商品仕入高,"106,962,410","95,898,275","81,431,715","120,547,888","79,591,633","80,633,201","72,130,412","81,669,407","84,510,319","89,953,281","86,364,117","84,568,432","170,932,549"
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),"14,747,318","14,352,355","14,924,341","14,515,967","13,961,891","12,321,267","13,108,186","14,533,136","13,726,618","14,916,959","15,593,236","14,895,908","30,489,144"
,当期売上原価,"212,849,403","191,376,690","160,744,201","231,529,214","161,490,541","166,004,887","139,675,675","163,362,732","169,918,217","177,348,782","174,378,104","169,593,349","343,971,453"
,売上総利益,"30,182,519","21,897,797","24,543,431","29,865,868","26,913,355","20,962,546","18,577,561","22,097,178","22,570,873","24,236,053","20,902,193","22,780,875","43,683,068"
6111,給与手当,"11,323,204","10,387,752","10,737,593","12,491,331","11,151,299","10,828,852","10,766,116","10,716,518","10,840,441","-1,019,343","10,922,376","11,607,420","22,529,796"
6311,雑給,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,旅費交通費,"339,731","366,313","369,555","362,911","414,331","358,258","327,954","370,179","313,756","318,511","308,919","359,763","668,682"
6113,広告宣伝費,"752,619","657,344","887,641","1,081,564","820,188","698,644","710,888","580,485","1,287,452","719,454","723,632","590,812","1,314,444"
6114,販売促進費,"524,794","502,618","991,548","415,178","881,157","1,454,320","450,417","739,769","343,945","696,907","314,652","855,829","1,170,481"
6115,荷造発送費,"17,818","9,608","23,126","24,051","14,928","19,197","15,148","18,480","16,171","12,704","11,643","8,927","20,570"
6116,外注費,"748,574","826,630","629,574","987,296","166,111","879,611","651,685","759,130","793,148","767,556","997,648","1,470,855","2,468,503"
6117,支払手数料,"344,342","240,616","282,790","375,141","240,815","189,161","758,185","216,781","269,085","1,075,549","223,002","169,851","392,853"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,"11,450,000",0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,"1,344,144","245,000","245,000","245,000","245,000","245,000","294,203","245,000","245,000","245,000",0,0,0
6312,法定福利費,"1,939,386","1,531,707","1,428,796","1,528,531","1,478,005","1,540,609","1,787,364","1,552,714","1,642,538","1,632,854","1,633,090","1,794,083","3,427,173"
6226,厚生費,"115,258","206,446","1,284,721","689,850","236,496","221,999","162,125","388,783","500,986","1,431,255","257,419","326,045","583,464"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"286,876","286,876","286,876","286,876","286,876","286,876","286,876","286,876","286,876","-46,774","293,370","293,370","586,740"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"1,695,742","1,732,780","1,714,261","1,714,261","1,621,668","1,572,894","1,976,853","1,549,445","1,555,001","1,555,001","1,975,001","2,188,345","4,163,346"
6216,修繕／車両関係費,"19,360",0,0,"307,332","62,290",0,0,"298,398","60,630",0,"159,000","45,000","204,000"
6217,事務用消耗品費,"62,616","73,773","50,294","126,644","49,366","54,799","53,561","60,371","57,984","50,445","63,667","69,759","133,426"
6218,通信交通費,"122,396","391,279","233,563","145,877","237,737","378,361","128,147","333,860","175,741","66,651","262,879","178,999","441,878"
6219,水道光熱費,"261,277","356,968","452,355","452,309","396,139","285,012","283,979","314,654","367,402","420,388","545,630","157,941","703,571"
6221,租税公課,"1,000","13,000","2,000","38,900","4,000","7,000","7,000","20,000",0,"12,000","2,000","11,000","13,000"
6222,寄付金,0,0,0,0,0,0,0,0,0,"3,000","23,000",0,"23,000"
6223,接待交際費,0,"1,100",0,"3,000",0,0,0,"18,069",0,"14,212","2,807","1,111","3,918"
6224,保険料,"21,962","26,962","218,962","47,912","18,962","18,962","18,962","44,032","18,962","18,962","37,267","18,962","56,229"
6225,備品消耗品費,"415,335","161,814","289,039","154,879","179,981","284,776","574,669","319,161","266,744","180,679","118,024","2,296,763","2,414,787"
6227,管理諸費,"197,636","289,376","186,705","103,029","168,664","278,791","242,543","135,553","201,318","278,037","204,813","170,489","375,302"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,"18,000","10,000",0,"150,000",0,0,"150,000",0,"150,000"
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"20,534,070","18,307,962","20,314,399","21,581,872","18,692,013","19,613,122","19,496,675","19,118,258","19,243,180","19,883,048","19,229,839","22,615,324","41,845,163"
,営業利益（損失）,"9,648,449","3,589,835","4,229,032","8,283,996","8,221,342","1,349,424","-919,114","2,978,920","3,327,693","4,353,005","1,672,354","165,551","1,837,905"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,"2,591","7,972","2,580","6,429","4,377","4,355","6,206","2,107","2,790","7,447","1,822","5,466","7,288"
,営業外収益計,"2,591","7,972","2,580","6,429","4,377","4,355","6,206","2,107","2,790","7,447","1,822","5,466","7,288"
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,-10,0,40,0,"3,000",0,-500,0,-500
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,"350,000",0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,-10,0,40,0,"3,000","350,000",-500,0,-500
,経常利益（損失）,"9,651,040","3,597,807","4,231,612","8,290,425","8,225,729","1,353,779","-912,948","2,981,027","3,327,483","4,010,452","1,674,676","171,017","1,845,693"
