"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","売上高","68,711,294","56,232,044","129,643,035","89,403,763","64,564","170,983,022","79,746,851","44,126,179","92,892,302","93,960,566","92,926,602","91,989,246"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","250,000","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","113,144,877","96,663,553","-11,300","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","181,856,171","152,895,597","129,631,735","89,403,763","64,564","170,983,022","79,746,851","44,126,179","92,892,302","93,960,566","93,176,602","91,989,246"
"5111","期首たな卸高","15,147,388","13,134,081","-1,405,431","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","68,689,248","56,028,432","129,619,271","89,382,160","0","170,944,146","79,699,879","44,108,789","92,683,459","93,882,937","93,079,694","91,855,292"
"5212","通信商品仕入高","93,250,487","77,405,173","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","13,134,081","13,511,528","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","163,953,042","133,056,158","128,213,840","89,382,160","0","170,944,146","79,699,879","44,108,789","92,683,459","93,882,937","93,079,694","91,855,292"
,"売上総利益","17,903,129","19,839,439","1,417,895","21,603","64,564","38,876","46,972","17,390","208,843","77,629","96,908","133,954"
"6111","給与手当","766,670","766,670","766,670","766,670","766,670","766,670","766,670","766,670","-1,133,330","776,670","766,670","766,670"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","64,440","27,679","26,257","175,928","45,215","47,630","114,627","29,059","166,584","23,755","136,045","53,460"
"6113","広告宣伝費","20,960","160,990","24,599","53,044","4,811","-2,766","11,978","29,493","-1,839","21,754","-1,765","4,183"
"6114","販売促進費","515,756","610,035","10,000","10,047","10,000","10,000","510,000","610,011","10,000","610,600","10,000","10,000"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","527","2,045","527"
"6116","外注費","678,000","661,370","0","0","0","0","0","0","0","0","254,457","525,350"
"6117","支払手数料","23,680","37,480","17,000","2,878","4,650","2,600","4,750","3,650","691,715","33,938","9,591","18,765"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","1,900,000","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","190,000","190,000","190,000","190,000","0","0","0","0","0","0","0","0"
"6312","法定福利費","162,654","162,654","176,384","176,384","176,384","176,384","176,384","176,384","176,384","272,784","272,784","272,784"
"6226","厚生費","109,328","139,634","77,090","51,852","150,909","202,362","614,918","49,723","764,465","86,334","158,771","56,285"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","63,186","63,186","63,186","63,186","63,186","63,186","63,186","63,186","-636,788","63,225","63,225","63,225"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","600,000","0"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","7,727"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","25,234","22,752","22,862","19,078","18,796","19,066","19,090","15,986","19,080","12,140","16,328","16,393"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","0","0","63,905"
"6221","租税公課","0","0","4,300","0","8,600","0","0","8,000","0","0","4,600","600"
"6222","寄付金","15,000","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","8,000","0","0","0","0","0","0","5,006","0","0","4,344","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","2,560","0","0"
"6225","備品消耗品費","67,089","0","58,352","63,281","57,149","2,839","14,119","3,283","17,241","11,333","5,133","30,959"
"6227","管理諸費","32,269","0","0","55,350","45,324","10,828","48,352","514,815","1,540,500","514,545","514,545","500,000"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","150,000","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,742,266","2,842,450","1,436,700","1,627,698","1,351,694","1,298,799","2,344,074","2,275,266","3,664,012","2,430,165","2,816,773","2,390,833"
,"営業利益（損失）","15,160,863","16,996,989","-18,805","-1,606,095","-1,287,130","-1,259,923","-2,297,102","-2,257,876","-3,455,169","-2,352,536","-2,719,865","-2,256,879"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","6,892","2,660","4,418","3,123","6,774","0","0","0","6,719","4,989","2,370","5,473"
,"営業外収益計","6,892","2,660","4,418","3,123","6,774","0","0","0","6,719","4,989","2,370","5,473"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
