"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","56,703,962","66,933,762","36,095","274,200","49,046","20,800","9,480","1,995","2,848,425","13,392","12,864","18,935"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","56,703,962","66,933,762","36,095","274,200","49,046","20,800","9,480","1,995","2,848,425","13,392","12,864","18,935"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","5","58,148","0","58,821","0","0","0","0"
"5212","通信商品仕入高","56,674,635","66,900,038","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","56,674,635","66,900,038","0","0","5","58,148","0","58,821","0","0","0","0"
,"売上総利益","29,327","33,724","36,095","274,200","49,041","-37,348","9,480","-56,826","2,848,425","13,392","12,864","18,935"
"6111","給与手当","616,670","616,670","616,670","616,670","616,670","566,670","566,670","566,670","566,670","566,670","766,670","566,670"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","455","455","728","4,818","1,245","22,382","273","0","0","691","0","91"
"6113","広告宣伝費","20,217","51,435","48,030","73,222","29,574","55,554","24,525","47,218","17,983","188,270","2,899","2,342"
"6114","販売促進費","225,665","82,769","116,664","364,898","467,335","275,365","425,182","131,761","426,997","210,000","414,109","214,237"
"6115","荷造発送費","0","0","0","209","473","1,269","0","0","846","0","0","0"
"6116","外注費","26,400","458,064","345,234","324,627","600,000","0","0","0","1,208,000","0","1,036,364","0"
"6117","支払手数料","-1,543,628","-1,801,868","-1,776,679","-1,696,609","-2,468,262","-2,090,181","-1,646,052","-1,569,842","-244,060","-1,852,420","-2,856,399","-1,656,316"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","377,496","375,796","377,496","377,496","377,496","377,496","377,496","375,432","375,432","338,948","340,648","377,132"
"6226","厚生費","46,230","0","122,821","68,159","194,878","590,944","0","84,177","187,542","393,456","428,295","286,404"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","207,212","-1,612,951","115,833","115,833","115,833","115,833","115,833","115,833","115,833","115,833","115,833","115,833"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"6216","修繕／車両関係費","12,941","0","0","0","0","0","0","0","0","0","0","34,687"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","16,538","16,156","16,147","16,156","16,147","16,047","16,056","6,992","6,992","25,893","6,992","6,992"
"6219","水道光熱費","0","2,291","2,598","4,501","3,840","3,109","4,741","4,374","13,951","10,665","3,639","7,466"
"6221","租税公課","19,000","3,000","0","0","0","0","0","0","0","1,500","0","11,200"
"6222","寄付金","0","20,000","0","0","0","12,000","0","0","0","0","0","0"
"6223","接待交際費","2,162","0","1,000","0","400","0","0","0","4,540","0","0","0"
"6224","保険料","5,000","10,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","24,730"
"6225","備品消耗品費","200","16,520","50,008","23,988","67,253","75,452","56,445","140,850","170,285","100","100","42,091"
"6227","管理諸費","0","0","16,582","8,709","23,830","21,440","2,800","40,604","0","0","0","0"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","32,558","-1,761,663","58,132","307,677","51,712","48,380","-51,031","-50,931","2,856,011","4,606","264,150","33,559"
,"営業利益（損失）","-3,231","1,795,387","-22,037","-33,477","-2,671","-85,728","60,511","-5,895","-7,586","8,786","-251,286","-14,624"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","3,231","7,326","3,482","5,784","2,671","70,937","3,278","5,895","7,586","4,606","0","0"
,"営業外収益計","3,231","7,326","3,482","5,784","2,671","70,937","3,278","5,895","7,586","4,606","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","5","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","5","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","1,802,708","-18,555","-27,693","0","-14,791","63,789","0","0","13,392","-251,286","-14,624"
