"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","売上高","49,046","20,800","9,480","1,995","2,848,425","13,392","12,864","18,935","0","39,003","16,026","0"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","49,046","20,800","9,480","1,995","2,848,425","13,392","12,864","18,935","0","39,003","16,026","0"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","5","58,148","0","58,821","0","0","0","0","0","24,945","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","5","58,148","0","58,821","0","0","0","0","0","24,945","0","0"
,"売上総利益","49,041","-37,348","9,480","-56,826","2,848,425","13,392","12,864","18,935","0","14,058","16,026","0"
"6111","給与手当","616,670","566,670","566,670","566,670","566,670","566,670","766,670","566,670","453,336","453,336","566,670","566,670"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","1,245","22,382","273","0","0","691","0","91","0","4,691","1,146","910"
"6113","広告宣伝費","29,574","55,554","24,525","47,218","17,983","188,270","2,899","2,342","15,253","42,797","45,127","34,009"
"6114","販売促進費","467,335","275,365","425,182","131,761","426,997","210,000","414,109","214,237","1,122,615","14,269","14,067","52,295"
"6115","荷造発送費","473","1,269","0","0","846","0","0","0","0","0","109","127"
"6116","外注費","600,000","0","0","0","1,208,000","0","1,036,364","0","0","0","0","0"
"6117","支払手数料","-2,468,262","-2,090,181","-1,646,052","-1,569,842","-244,060","-1,852,420","-2,856,399","-1,656,316","-2,225,595","-1,836,369","-1,412,425","-1,334,801"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","377,496","377,496","377,496","375,432","375,432","338,948","340,648","377,132","377,132","377,132","377,132","377,132"
"6226","厚生費","194,878","590,944","0","84,177","187,542","393,456","428,295","286,404","175,000","447,826","290,814","159,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","115,833","115,833","115,833","115,833","115,833","115,833","115,833","115,833","115,833","-584,163","86,666","86,666"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","34,687","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","16,147","16,047","16,056","6,992","6,992","25,893","6,992","6,992","6,992","385,427","6,992","6,992"
"6219","水道光熱費","3,840","3,109","4,741","4,374","13,951","10,665","3,639","7,466","18,635","10,168","10,126","8,019"
"6221","租税公課","0","0","0","0","0","1,500","0","11,200","0","0","600","0"
"6222","寄付金","0","12,000","0","0","0","0","0","0","0","0","20,000","0"
"6223","接待交際費","400","0","0","0","4,540","0","0","0","0","13,291","0","645"
"6224","保険料","5,000","5,000","5,000","5,000","5,000","5,000","5,000","24,730","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","67,253","75,452","56,445","140,850","170,285","100","100","42,091","40,964","15,069","7,336","20,422"
"6227","管理諸費","23,830","21,440","2,800","40,604","0","0","0","0","0","16,536","0","16,914"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","1,000,000","1,000,000"
,"販売費及び一般管理費計","51,712","48,380","-51,031","-50,931","2,856,011","4,606","264,150","33,559","105,165","-634,990","1,019,360","1,000,000"
,"営業利益（損失）","-2,671","-85,728","60,511","-5,895","-7,586","8,786","-251,286","-14,624","-105,165","649,048","-1,003,334","-1,000,000"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","2,671","70,937","3,278","5,895","7,586","4,606","0","0","0","3,379,337","3,334","0"
,"営業外収益計","2,671","70,937","3,278","5,895","7,586","4,606","0","0","0","3,379,337","3,334","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","-465","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","700,000","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","-465","700,000","0","0"
,"経常利益（損失）","0","-14,791","63,789","0","0","13,392","-251,286","-14,624","-104,700","3,328,385","-1,000,000","-1,000,000"
