"ｺｰﾄﾞ","勘定科目名"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"
"4111","売上高","3,240,041","3,253,433","3,266,297","3,285,232","3,285,232","3,324,235","16,026","16,026","25,837","25,837","39,970","39,970"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,240,041","3,253,433","3,266,297","3,285,232","3,285,232","3,324,235","16,026","16,026","25,837","25,837","39,970","39,970"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","116,974","116,974","116,974","116,974","116,974","141,919","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","116,974","116,974","116,974","116,974","116,974","141,919","0","0","0","0","0","0"
,"売上総利益","3,123,067","3,136,459","3,149,323","3,168,258","3,168,258","3,182,316","16,026","16,026","25,837","25,837","39,970","39,970"
"6111","給与手当","4,116,690","4,683,360","5,450,030","6,016,700","6,470,036","6,923,372","566,670","1,133,340","1,700,010","2,266,680","2,833,350","3,400,020"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","29,446","30,137","30,137","30,228","30,228","34,919","1,146","2,056","2,338","3,065","3,520","3,975"
"6113","広告宣伝費","296,106","484,376","487,275","489,617","504,870","547,667","45,127","79,136","139,836","139,836","146,200","190,944"
"6114","販売促進費","2,208,202","2,418,202","2,832,311","3,046,548","4,169,163","4,183,432","14,067","66,362","76,362","90,466","100,466","110,466"
"6115","荷造発送費","2,797","2,797","2,797","2,797","2,797","2,797","109","236","236","236","236","891"
"6116","外注費","2,477,861","2,477,861","3,514,225","3,514,225","3,514,225","3,514,225","0","0","0","0","0","0"
"6117","支払手数料","-11,491,685","-13,344,105","-16,200,504","-17,856,820","-20,082,415","-21,918,784","-1,412,425","-2,747,226","-4,082,024","-5,400,542","-6,618,087","-7,780,393"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","2,638,344","2,977,292","3,317,940","3,695,072","4,072,204","4,449,336","377,132","754,264","1,131,396","1,508,528","1,885,660","2,262,792"
"6226","厚生費","1,248,521","1,641,977","2,070,272","2,356,676","2,531,676","2,979,502","290,814","449,814","663,314","850,463","851,805","870,176"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","810,831","926,664","1,042,497","1,158,330","1,274,163","690,000","86,666","173,332","259,998","346,664","433,330","519,996"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"6216","修繕／車両関係費","0","0","0","34,687","34,687","34,687","0","0","0","0","110,540","110,540"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","94,537","120,430","127,422","134,414","141,406","526,833","6,992","13,984","20,976","27,968","46,597","68,526"
"6219","水道光熱費","37,114","47,779","51,418","58,884","77,519","87,687","10,126","18,145","21,776","33,024","49,053","59,594"
"6221","租税公課","0","1,500","1,500","12,700","12,700","12,700","600","600","600","600","9,400","10,000"
"6222","寄付金","12,000","12,000","12,000","12,000","12,000","12,000","20,000","20,000","20,000","32,000","32,000","32,000"
"6223","接待交際費","5,940","5,940","5,940","5,940","5,940","19,231","0","645","7,126","43,944","44,851","44,851"
"6224","保険料","35,000","40,000","45,000","69,730","74,730","79,730","5,000","10,000","15,000","20,000","42,540","47,540"
"6225","備品消耗品費","584,281","584,381","584,481","626,572","667,536","682,605","7,336","27,758","35,431","41,625","47,534","67,234"
"6227","管理諸費","113,965","113,965","113,965","113,965","113,965","130,501","0","16,914","16,914","25,824","25,824","25,824"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","1,000,000","2,000,000","3,000,000","4,000,000","5,000,000","6,000,000"
,"販売費及び一般管理費計","3,219,950","3,224,556","3,488,706","3,522,265","3,627,430","2,992,440","1,019,360","2,019,360","3,029,289","4,030,381","5,044,819","6,044,976"
,"営業利益（損失）","-96,883","-88,097","-339,383","-354,007","-459,172","189,876","-1,003,334","-2,003,334","-3,003,452","-4,004,544","-5,004,849","-6,005,006"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","288","445"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","99,633","104,239","104,239","104,239","104,239","3,483,576","3,334","3,334","3,334","3,334","3,334","3,334"
,"営業外収益計","99,633","104,239","104,239","104,239","104,239","3,483,576","3,334","3,334","3,334","3,334","3,622","3,779"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","-465","-465","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","700,000","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","-465","699,535","0","0","0","0","0","0"
,"経常利益（損失）","2,750","16,142","-235,144","-249,768","-354,468","2,973,917","-1,000,000","-2,000,000","-3,000,118","-4,001,210","-5,001,227","-6,001,227"
