"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","売上高","406,341,320","310,263,868","217,432,531","335,524,139","304,278,921","325,670,724","284,812,391","315,738,782","329,003,204","335,294,728","368,302,464","349,112,634"
"4112","賃貸料収入","4,693,503","4,503,179","4,016,865","5,340,102","4,741,143","5,097,730","4,454,350","4,336,879","6,586,797","5,769,107","4,343,334","4,186,333"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","212,485,969","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","1,039,590","730,800","274,030","88,824","137,528","147,811","126,433","148,007","126,583","132,052","154,471","117,981"
,"純売上高","409,995,233","314,036,247","221,175,366","340,775,417","308,882,536","330,620,643","289,140,308","319,927,654","335,463,418","553,417,752","372,491,327","353,180,986"
"5111","期首棚卸高","85,959,832","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,694,942","94,698,598"
"5211","商品仕入高","133,418,342","62,065,116","47,103,015","83,936,505","81,056,020","77,294,970","71,631,534","79,516,841","97,367,887","98,669,041","90,707,646","97,547,324"
"5212","通信商品仕入高","80,770,218","72,229,512","60,574,790","76,842,950","70,830,860","54,062,884","53,092,554","60,390,586","48,652,126","64,833,856","76,135,983","63,715,299"
"5215","ｺﾐｯｼｮﾝ清掃代","38,993","32,173","35,191","16,100","28,698","32,080","33,624","22,880","28,279","35,822","28,921","26,698"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","106,992,013","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,694,942","94,698,598","98,074,655"
,"当期売上原価","187,158,664","145,005,174","112,213,322","170,137,594","140,129,311","149,612,721","129,455,067","138,156,065","142,983,958","256,048,474","168,868,894","157,913,264"
,"売上総利益","222,836,569","169,031,073","108,962,044","170,637,823","168,753,225","181,007,922","159,685,241","181,771,589","192,479,460","297,369,278","203,622,433","195,267,722"
"6111","給与手当","38,791,555","36,866,187","36,257,782","36,520,401","38,394,042","37,699,110","37,510,361","36,161,891","36,624,843","-15,705,184","36,085,199","35,122,183"
"6311","雑給","39,238,764","35,221,992","30,297,113","35,758,165","34,752,652","38,044,472","34,963,964","37,104,354","38,711,572","36,062,901","40,376,104","39,297,845"
