"ｺｰﾄﾞ","勘定科目名"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"
"4111","売上高","304,278,921","325,670,724","284,812,391","315,738,782","329,003,204","335,294,728","368,302,464","349,112,634","431,441,150","393,289,067","339,169,771","454,826,398"
"4112","賃貸料収入","4,741,143","5,097,730","4,454,350","4,336,879","6,586,797","5,769,107","4,343,334","4,186,333","6,607,246","4,293,563","5,064,542","4,934,515"
"4113","ＬＬＰ収益","0","0","0","0","0","212,485,969","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","137,528","147,811","126,433","148,007","126,583","132,052","154,471","117,981","163,358","151,667","143,810","178,535"
,"純売上高","308,882,536","330,620,643","289,140,308","319,927,654","335,463,418","553,417,752","372,491,327","353,180,986","437,885,038","397,430,963","344,090,503","459,582,378"
"5111","期首棚卸高","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,694,942","94,698,598","98,074,655","121,379,607","91,389,364","87,122,844"
"5211","商品仕入高","81,056,020","77,294,970","71,631,534","79,516,841","97,367,887","98,669,041","90,707,646","97,347,843","148,854,666","83,824,768","90,424,715","126,491,617"
"5212","通信商品仕入高","70,830,860","54,062,884","53,092,554","60,390,586","48,652,126","64,833,856","76,135,983","63,715,299","67,859,265","65,687,187","60,909,264","94,654,961"
"5215","ｺﾐｯｼｮﾝ清掃代","28,698","32,080","33,624","22,880","28,279","35,822","28,921","26,698","50,518","22,880","28,918","26,698"
"5216","ＬＬＰ原価","0","0","0","0","0","106,992,013","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,694,942","94,698,598","98,074,655","121,379,607","91,389,364","87,122,844","92,367,849"
,"当期売上原価","140,129,311","149,612,721","129,455,067","138,156,065","142,983,958","256,048,474","168,868,894","157,713,783","193,459,497","179,525,078","155,629,417","215,928,271"
,"売上総利益","168,753,225","181,007,922","159,685,241","181,771,589","192,479,460","297,369,278","203,622,433","195,467,203","244,425,541","217,905,885","188,461,086","243,654,107"
"6111","給与手当","38,394,042","37,699,110","37,510,361","36,161,891","36,624,843","-15,705,184","36,085,199","35,122,183","37,125,964","35,047,956","34,579,697","35,118,658"
"6311","雑給","34,752,652","38,044,472","34,963,964","37,104,354","38,711,572","36,062,901","40,376,104","39,297,845","47,971,202","43,267,754","38,817,922","47,492,877"
"6112","旅費交通費","2,543,705","2,638,842","2,539,292","2,782,933","2,722,515","2,679,998","3,213,189","2,815,587","3,103,559","2,703,638","2,681,823","2,914,873"
"6113","広告宣伝費","10,709,303","12,043,701","12,038,051","10,540,240","10,681,698","11,103,368","18,680,946","10,769,094","13,237,090","13,238,922","11,425,670","14,698,465"
"6114","販売促進費","2,573,039","2,327,147","2,186,229","2,662,127","3,194,570","2,995,423","2,928,937","3,374,667","3,178,398","2,743,752","3,656,371","3,566,575"
"6115","荷造発送費","327,584","338,226","332,764","334,576","334,904","333,465","320,037","381,546","390,079","141,600","328,425","468,740"
"6116","外注費","3,747,067","2,270,030","2,171,113","4,173,313","5,576,839","4,307,830","3,835,226","3,286,738","4,279,243","4,085,997","3,720,554","5,575,653"
"6117","支払手数料","12,239,640","19,878,140","12,034,439","13,107,721","14,489,414","15,423,963","16,413,704","13,686,414","17,520,059","15,719,162","14,299,087","17,134,856"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","650,002","650,002","650,002","650,002","650,002","20,650,002","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","496,250","9,838,615","2,442,375","2,232,375","2,442,375","2,454,703","2,707,415","2,707,415","-4,285,254","2,658,860","2,292,194","2,673,415"
"6312","法定福利費","6,525,870","8,502,566","7,948,237","9,261,934","5,834,331","13,620,484","6,370,762","6,857,632","7,230,279","9,978,329","7,086,062","7,082,486"
"6226","厚生費","7,320,073","2,433,071","4,923,825","7,436,159","2,357,544","3,917,905","2,807,160","2,791,837","2,721,432","2,721,844","3,637,785","7,598,586"
"6119","退職金","0","0","1,600,000","0","0","0","0","0","500,000","0","0","0"
"6214","減価償却費","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","10,402,322","13,499,733","13,499,733","13,499,733","13,499,733","13,499,733","13,499,733"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
