"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"4111","売上高","258,645,856","292,497,031","303,256,183","313,861,581","26,172,826","22,075,640","26,257,879","25,414,149","28,865,874","27,770,101","22,148,035","22,419,461"
"4112","賃貸料収入","5,609,732","5,442,424","4,805,224","3,971,515","6,414,542","6,111,005","7,414,259","7,639,750","7,774,059","5,765,823","6,142,714","5,995,896"
"4113","ＬＬＰ収益","0","0","0","244,333,629","0","0","0","0","0","0","233,052,612","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","167,884","216,203","173,426","119,767","0","0","0","0","0","0","0","0"
,"純売上高","264,087,704","297,723,252","307,887,981","562,046,958","32,587,368","28,186,645","33,672,138","33,053,899","36,639,933","33,535,924","261,343,361","28,415,357"
"5111","期首棚卸高","92,353,035","54,222,550","66,426,992","63,752,423","0","0","0","0","0","0","0","0"
"5211","商品仕入高","100,172,493","118,878,719","107,187,917","107,400,303","7,900,000","6,140,000","7,900,000","8,800,000","7,000,000","7,900,000","7,900,000","7,900,000"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","29,700","26,698","36,808","22,880","43,925","27,755","27,010","21,501","23,520","35,774","22,830","22,120"
"5216","ＬＬＰ原価","0","0","0","135,186,388","0","0","0","0","0","0","132,784,157","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","54,222,550","66,426,992","63,752,423","60,322,578","0","0","0","0","0","0","0","0"
,"当期売上原価","138,332,678","106,700,975","109,899,294","246,039,416","7,943,925","6,167,755","7,927,010","8,821,501","7,023,520","7,935,774","140,706,987","7,922,120"
,"売上総利益","125,755,026","191,022,277","197,988,687","316,007,542","24,643,443","22,018,890","25,745,128","24,232,398","29,616,413","25,600,150","120,636,374","20,493,237"
"6111","給与手当","25,158,636","24,739,102","24,769,464","25,235,552","3,013,373","3,127,509","3,402,611","2,743,860","2,965,078","3,203,398","2,753,303","2,806,491"
"6311","雑給","40,682,312","44,328,481","45,830,267","44,208,505","0","0","0","305,500","0","0","284,500","210,500"
"6112","旅費交通費","2,836,644","3,455,889","3,631,272","3,341,155","515,166","511,911","5,819,057","-749,574","-562,332","365,117","472,962","539,693"
"6113","広告宣伝費","10,005,816","9,500,167","10,829,770","6,122,007","368,437","567,655","1,184,003","237,565","292,564","720,927","505,381","223,655"
"6114","販売促進費","1,334,150","1,597,670","1,669,056","1,489,942","0","0","0","0","0","0","0","0"
"6115","荷造発送費","330,589","392,259","360,498","354,379","0","0","18,179","0","897","0","0","0"
"6116","外注費","1,199,129","1,071,071","1,459,674","1,455,686","510,000","510,000","510,000","510,000","510,000","510,000","510,000","510,000"
"6117","支払手数料","14,177,112","14,410,539","14,640,337","19,456,348","733,234","2,712,909","-1,986,510","476,308","409,210","907,236","413,183","2,682,384"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","2,700,001","2,700,001","2,700,001","62,700,001","2,800,000","1,900,000","1,900,000","11,800,000","6,800,000","6,800,000","15,700,000","6,800,000"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","1,628,249","1,628,249","1,628,249","1,628,249","200,000","200,000","832,619","200,000","200,000","200,000","200,000","200,000"
"6312","法定福利費","8,034,285","9,021,387","6,046,009","10,318,568","-248,192","-16,719","855,555","3,305,808","1,092,448","546,729","543,848","657,926"
"6226","厚生費","3,796,788","7,352,905","1,755,871","2,767,156","266,357","81,702","514,975","953,335","1,181,781","504,519","153,975","179,884"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","13,010,138","13,010,138","13,010,138","23,090,391","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","23,263,270","24,113,069","24,180,867","23,942,616","1,707,945","1,707,945","1,693,445","1,693,445","1,693,445","1,751,445","1,707,945","1,707,945"
"6216","修繕／車両関係費","2,906,248","5,696,073","3,657,934","12,438,461","491,976","1,367,459","1,596,711","1,085,547","1,061,258","951,058","2,172,400","2,286,653"
"6217","事務用消耗品費","12,401","27,392","33,312","89,218","0","0","0","0","0","0","0","0"
"6218","通信交通費","558,261","546,806","559,968","2,091,898","299,773","215,347","61,243","339,691","205,167","26,945","313,704","168,072"
"6219","水道光熱費","12,017,119","12,785,517","13,629,070","9,398,333","204,146","194,108","425,925","68,486","381,944","145,496","343,019","154,688"
"6221","租税公課","143,084","3,936,800","63,390","10,299,519","56,100","123,600","951,550","0","55,300","0","7,263,450","1,405,700"
"6222","寄付金","1,000","12,000","20,000","30,000","10,000","0","19,000","1,035,000","0","0","0","2,030,000"
"6223","接待交際費","1,652,115","1,706,176","1,189,052","1,896,281","839,600","743,936","875,234","658,363","606,789","456,543","544,701","296,357"
"6224","保険料","444,726","444,726","444,726","2,147,550","245,336","615,466","597,816","241,236","625,716","415,996","1,722,656","424,912"
"6225","備品消耗品費","9,491,233","11,946,496","10,047,327","27,752,219","105,934","367,481","207,938","58,457","65,325","103,580","233,851","126,611"
"6227","管理諸費","4,631,342","4,519,871","4,297,994","5,022,229","743,102","2,751,782","719,112","295,175","641,885","321,734","401,547","340,781"
"6228","リース／レンタル料","0","0","9,300","0","32,800","0","0","0","0","0","0","0"
"6229","諸会費","371,800","346,345","184,300","194,800","351,000","173,000","123,000","123,000","23,000","20,000","239,200","252,440"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","7,604","2,000","6,000","4,576","0","0","0","50","0","164","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","180,394,052","199,291,129","186,653,846","297,475,639","21,098,528","25,707,532","28,173,904","33,233,693","26,101,916","25,803,328","44,332,066","31,857,133"
,"営業利益（損失）","-54,639,026","-8,268,852","11,334,841","18,531,903","3,544,915","-3,688,642","-2,428,776","-9,001,295","3,514,497","-203,178","76,304,308","-11,363,896"
"7111","受取利息","17","144","1,977","4,550,137","23","27","0","51","411","106","40","2"
"7112","為替差益","0","0","0","13,220,039","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","1,800","0","0","2,250,107","0","5,000,000","0","0","678","19,999,980","0","0"
"7118","雑収入","112,488,472","602,633","734,120","5,807,634","30,574","513,790","16,301,004","409,729","145,903","144,976","2,822,740","5,762,791"
,"営業外収益計","112,490,289","602,777","736,097","25,827,917","30,597","5,513,817","16,301,004","409,780","146,992","20,145,062","2,822,780","5,762,793"
"7511","支払利息","553,645","896,861","921,103","780,895","790,848","890,541","697,604","933,584","963,025","827,610","1,196,565","886,094"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","1,835,441","0","0","0","0","0","0","0","0"
