"ｺｰﾄﾞ","勘定科目名"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","313,861,581","26,172,826","22,075,640","26,257,879","25,414,149","28,865,874","27,770,101","22,148,035","22,419,461","43,667,494","22,183,459","32,700,080"
"4112","賃貸料収入","3,971,515","6,414,542","6,111,005","7,414,259","7,639,750","7,774,059","5,765,823","6,142,714","7,521,350","5,874,404","8,198,550","6,037,186"
"4113","ＬＬＰ収益","244,333,629","0","0","0","0","0","0","233,052,612","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","119,767","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","562,046,958","32,587,368","28,186,645","33,672,138","33,053,899","36,639,933","33,535,924","261,343,361","29,940,811","49,541,898","30,382,009","38,737,266"
"5111","期首棚卸高","63,752,423","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","107,400,303","7,900,000","6,140,000","7,900,000","8,800,000","7,000,000","7,900,000","7,900,000","7,900,000","7,900,000","7,900,000","7,900,000"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","22,880","43,925","27,755","27,010","21,501","23,520","35,774","22,830","22,120","13,647","40,055","15,867"
"5216","ＬＬＰ原価","135,186,388","0","0","0","0","0","0","132,784,157","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","60,322,578","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","246,039,416","7,943,925","6,167,755","7,927,010","8,821,501","7,023,520","7,935,774","140,706,987","7,922,120","7,913,647","7,940,055","7,915,867"
,"売上総利益","316,007,542","24,643,443","22,018,890","25,745,128","24,232,398","29,616,413","25,600,150","120,636,374","22,018,691","41,628,251","22,441,954","30,821,399"
"6111","給与手当","25,235,552","3,013,373","3,127,509","3,402,611","2,743,860","2,965,078","3,203,398","2,753,303","2,806,491","3,513,915","3,755,006","3,044,000"
"6311","雑給","44,208,505","0","0","0","305,500","0","0","284,500","210,500","271,000","0","0"
"6112","旅費交通費","3,341,155","515,166","511,911","5,819,057","-749,574","-562,332","365,117","472,962","539,693","561,469","344,394","827,578"
"6113","広告宣伝費","6,122,007","368,437","567,655","1,184,003","237,565","292,564","720,927","505,381","223,655","187,473","687,291","884,891"
"6114","販売促進費","1,489,942","0","0","0","0","0","0","0","0","0","0","0"
"6115","荷造発送費","354,379","0","0","18,179","0","897","0","0","0","0","0","700"
"6116","外注費","1,455,686","510,000","510,000","510,000","510,000","510,000","510,000","510,000","510,000","510,000","510,000","510,000"
"6117","支払手数料","19,456,348","733,234","2,712,909","-1,986,510","476,308","409,210","907,236","413,183","2,682,384","412,014","2,031,793","537,903"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","62,700,001","2,800,000","1,900,000","1,900,000","11,800,000","6,800,000","6,800,000","15,700,000","6,800,000","6,800,000","6,800,000","6,800,000"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","1,628,249","200,000","200,000","832,619","200,000","200,000","200,000","200,000","200,000","1,869,830","200,000","3,200,000"
"6312","法定福利費","10,318,568","-248,192","-16,719","855,555","3,305,808","1,092,448","546,729","543,848","657,926","688,338","-4,625","1,034,730"
"6226","厚生費","2,767,156","266,357","81,702","514,975","953,335","1,181,781","504,519","153,975","179,884","136,612","4,622,278","192,138"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","23,090,391","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441","7,852,441"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","23,942,616","1,707,945","1,707,945","1,693,445","1,693,445","1,693,445","1,751,445","1,707,945","1,707,945","1,707,945","1,707,945","1,707,945"
"6216","修繕／車両関係費","12,438,461","491,976","1,367,459","1,596,711","1,085,547","1,061,258","951,058","2,172,400","2,286,653","3,884,830","2,777,354","1,201,400"
"6217","事務用消耗品費","89,218","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","2,091,898","299,773","215,347","61,243","339,691","205,167","26,945","313,704","168,072","32,357","284,304","20,216"
"6219","水道光熱費","9,398,333","204,146","194,108","425,925","68,486","381,944","145,496","343,019","154,688","324,353","219,559","377,043"
"6221","租税公課","10,299,519","56,100","123,600","951,550","0","55,300","0","7,263,450","1,405,700","262,650","3,067,550","229,100"
"6222","寄付金","30,000","10,000","0","19,000","1,035,000","0","0","0","2,030,000","0","0","150,000"
"6223","接待交際費","1,896,281","839,600","743,936","875,234","658,363","606,789","456,543","544,701","296,357","520,690","813,854","432,596"
"6224","保険料","2,147,550","245,336","615,466","597,816","241,236","625,716","415,996","1,722,656","424,912","403,866","-227,944","421,866"
"6225","備品消耗品費","27,752,219","105,934","367,481","207,938","58,457","65,325","103,580","233,851","126,611","395,356","77,476","105,636"
"6227","管理諸費","5,022,229","743,102","2,751,782","719,112","295,175","641,885","321,734","401,547","340,781","334,953","733,414","323,842"
"6228","リース／レンタル料","0","32,800","0","0","0","0","0","0","0","0","0","39,200"
"6229","諸会費","194,800","351,000","173,000","123,000","123,000","23,000","20,000","239,200","252,440","155,000","276,000","71,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","4,576","0","0","0","50","0","164","0","0","0","0","-150,000"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","297,475,639","21,098,528","25,707,532","28,173,904","33,233,693","26,101,916","25,803,328","44,332,066","31,857,133","30,825,092","36,528,090","29,814,225"
,"営業利益（損失）","18,531,903","3,544,915","-3,688,642","-2,428,776","-9,001,295","3,514,497","-203,178","76,304,308","-9,838,442","10,803,159","-14,086,136","1,007,174"
"7111","受取利息","4,550,137","23","27","0","51","411","106","40","2","1","1,829","5,493"
"7112","為替差益","13,220,039","0","0","0","0","0","0","0","0","0","1,533,632","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","2,250,107","0","5,000,000","0","0","678","19,999,980","0","0","3,677","89,151","0"
"7118","雑収入","5,807,634","30,574","513,790","16,301,004","409,729","145,903","144,976","2,822,740","5,762,791","1,949,302","11,365,388","150,793"
,"営業外収益計","25,827,917","30,597","5,513,817","16,301,004","409,780","146,992","20,145,062","2,822,780","5,762,793","1,952,980","12,990,000","156,286"
"7511","支払利息","780,895","790,848","890,541","697,604","933,584","963,025","827,610","1,196,565","886,094","857,985","1,277,936","901,340"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","1,835,441","0","0","0","0","0","0","0","0","0","-8,457,440","0"
"7513","現金過不足","-131,415","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","9,303,567","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","116,919","0","0","0","0","1,750,000","0","0","450,000","0","0","0"
,"営業外費用計","11,905,407","790,848","890,541","697,604","933,584","2,713,025","827,610","1,196,565","1,336,094","857,985","-7,179,504","901,340"
,"経常利益（損失）","32,454,413","2,784,664","934,634","13,174,624","-9,525,099","948,464","19,114,274","77,930,523","-5,411,743","11,898,154","6,083,368","262,120"
