ｺｰﾄﾞ,勘定科目名, 3年 10月
4111,売上高,"11,536,005"
4112,会員券売上高,"674,278"
4113,ゴルフ用品・雑貨売上高,"128,052"
4114,手数料収入,"751,002"
4115,ポイント値引・入会金返金(△),"2,014,932"
,純売上高,"11,074,405"
5111,期首棚卸高,0
5211,商品仕入高,"81,694"
5212,,0
5215,,0
5216,,0
5213,仕入値引戻し高    (△),0
5273,他勘定振替高      (△),0
5311,期末棚卸高        (△),0
,当期売上原価,"81,694"
,売上総利益,"10,992,711"
6111,プロ報酬,0
6311,雑給,"1,384,645"
6112,旅費交通費,"79,097"
6113,広告宣伝費,"300,136"
6114,教育訓練費,0
6115,接客サービス費,"777,005"
6116,コンペ参加諸費,"20,895"
6117,プレイ器具費,"51,850"
6118,,0
6211,役員報酬,"567,000"
6232,,0
6212,社員給与,"2,084,841"
6213,従業員賞与,"188,000"
6312,法定福利費,"461,289"
6226,厚生費,"22,079"
6119,退職手当等,0
6214,減価償却費,"500,000"
6234,,0
6215,地代家賃・リース料,"682,761"
6216,修繕費,"437,530"
6217,事務用消耗品費,"72,427"
6218,通信交通費,"47,775"
6219,水道光熱費,"266,375"
6221,租税公課,"3,000"
6222,会議費,0
6223,接待交際費,0
6224,保険料,"60,700"
6225,備品消耗品費,"65,275"
6227,管理諸費,"147,600"
6228,寄附金,"4,545"
6229,その他の一般管理費,"15,500"
6313,,0
6233,,0
6314,貸倒償却,0
6231,雑費,"110,291"
,販売費及び一般管理費計,"8,350,616"
,営業利益（損失）,"2,642,095"
7111,受取利息,0
7112,受入家賃,0
7113,,0
7114,受取配当金,0
7118,雑収入,"2,000"
,営業外収益計,"2,000"
7511,支払利息割引料,0
7518,手形売却損,0
7512,,0
7513,,0
7514,,0
7515,繰延資産償却,0
7519,雑損失,0
,営業外費用計,0
,経常利益（損失）,"2,644,095"
