"ｺｰﾄﾞ","勘定科目名","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"
"4111","売上高","403,423,946","304,949,024","464,729,642","380,495,489","389,410,460","401,329,810","425,383,675","422,495,154","514,866,688","536,834,142","335,537,318","328,479,456"
"4112","賃貸料収入","3,206,217","3,523,948","2,812,154","3,440,574","10,197,480","7,597,171","4,700,979","3,507,906","2,964,542","4,060,069","3,505,940","3,396,506"
"4113","ＬＬＰ収益","226,630,002","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","106,547,866","110,355,585","103,668,135","95,416,349","109,263,909","84,906,032","72,470,719","114,971,182","113,781,392","74,355,264","99,822,367","80,197,930"
"4115","売上値引戻り高    (△)","2,020,439","1,999,803","1,868,936","1,895,968","2,320,098","1,972,127","1,649,223","1,917,161","2,606,533","2,354,878","1,860,088","1,747,312"
,"純売上高","737,787,592","416,828,754","569,340,995","477,456,444","506,551,751","491,860,886","500,906,150","539,057,081","629,006,089","612,894,597","437,005,537","410,326,580"
"5111","期首たな卸高","79,898,104","79,088,288","82,952,956","71,246,055","83,562,708","81,697,079","76,630,490","90,312,861","86,646,689","105,781,407","79,809,644","77,573,181"
"5211","商品仕入高","186,687,114","98,465,255","256,024,509","188,291,862","149,696,460","177,353,506","200,403,748","197,089,022","248,785,730","222,414,947","129,688,640","94,429,268"
"5212","通信商品仕入高","89,893,390","93,375,083","83,845,730","79,811,036","91,739,398","100,628,994","99,874,918","97,844,602","98,211,466","96,094,691","83,413,788","101,044,427"
"5215","ｺﾐｯｼｮﾝ清掃代","1,738,617","1,511,825","1,293,241","1,744,757","1,390,689","1,211,555","1,412,778","1,265,222","35,301","38,670","29,708","10,640"
"5216","ＬＬＰ原価","113,883,830","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","79,088,288","82,952,956","71,246,055","83,562,708","81,697,079","76,630,490","90,312,861","86,646,689","105,781,407","79,809,644","77,573,181","74,349,618"
,"当期売上原価","393,012,767","189,487,495","352,870,381","257,531,002","244,692,176","284,260,644","288,009,073","299,865,018","327,897,779","344,520,071","215,368,599","198,707,898"
,"売上総利益","344,774,825","227,341,259","216,470,614","219,925,442","261,859,575","207,600,242","212,897,077","239,192,063","301,108,310","268,374,526","221,636,938","211,618,682"
"6111","給与手当","46,273,372","45,054,216","45,072,799","46,120,596","44,814,153","42,970,170","45,243,201","46,314,309","46,115,317","42,798,916","42,409,841","40,414,963"
"6311","雑給","40,557,434","40,177,097","39,001,022","39,161,319","41,837,174","41,410,456","42,580,275","47,518,922","55,497,713","49,643,752","45,737,548","41,940,394"
"6112","旅費交通費","3,840,575","3,104,611","2,891,905","2,959,346","2,763,880","4,203,108","3,009,494","4,296,274","3,374,871","1,879,686","3,295,449","2,886,177"
"6113","広告宣伝費","18,243,351","22,737,325","19,371,231","18,084,197","19,286,413","17,791,965","20,442,401","18,593,737","21,516,615","17,451,435","16,379,992","18,886,468"
"6114","販売促進費","3,014,901","3,841,503","3,579,493","3,457,443","4,266,319","2,292,553","3,571,839","2,936,428","3,332,676","3,455,007","2,986,021","3,671,241"
"6115","荷造発送費","302,773","311,623","299,183","306,341","299,602","266,058","336,408","227,459","389,811","313,333","407,189","307,517"
"6116","外注費","3,929,201","3,815,136","3,492,445","2,834,000","5,638,086","4,949,594","5,239,055","5,841,370","7,169,002","3,151,479","4,137,525","1,957,636"
"6117","支払手数料","9,674,858","9,839,629","10,120,891","9,845,625","11,015,684","11,229,668","15,265,800","12,844,067","14,090,162","16,422,251","11,401,305","12,703,184"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","10,930,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","3,119,882","2,929,882","1,640,796","-57,764","2,929,882","2,929,882","-284,453","2,929,882","3,477,004","3,042,882","2,929,882","2,929,882"
