"ｺｰﾄﾞ","勘定科目名"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"
"4111","売上高","536,834,142","335,537,318","379,609,964","202,025,452","202,767,157","285,139,184","379,321,658","393,455,462","954,145,867","389,845,824","358,831,001","525,307,328"
"4112","賃貸料収入","4,060,069","3,505,940","3,463,263","3,397,431","3,819,795","3,194,126","3,205,778","2,416,070","8,161,629","3,111,270","2,854,206","3,982,587"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","222,779,500","0","0","0"
"4114","通信売上高","74,355,264","99,822,367","120,048,759","0","0","0","0","0","-595,449,683","0","75,992,598","-75,992,598"
"4115","売上値引戻り高    (△)","2,354,878","1,860,088","1,747,312","206,779","339,412","935,276","969,173","1,025,752","1,067,953","1,136,087","920,681","936,594"
,"純売上高","612,894,597","437,005,537","501,374,674","205,216,104","206,247,540","287,398,034","381,558,263","394,845,780","588,569,360","391,821,007","436,757,124","452,360,723"
"5111","期首たな卸高","105,781,407","79,809,644","77,573,181","74,349,618","67,778,921","64,146,848","63,828,030","64,198,627","58,682,019","53,377,064","54,643,021","57,225,542"
"5211","商品仕入高","222,414,947","129,688,640","190,740,484","74,175,397","63,191,614","65,453,943","77,897,636","73,076,277","69,470,470","88,009,406","91,612,465","111,006,239"
"5212","通信商品仕入高","96,094,691","83,413,788","101,044,427","47,419,460","50,820,474","68,762,638","134,180,793","142,088,597","120,466,857","119,044,749","157,090,083","159,500,457"
"5215","ｺﾐｯｼｮﾝ清掃代","38,670","29,708","33,222","0","86,259","30,350","13,040","36,790","29,503","34,951","64,236","45,483"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","104,410,770","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","79,809,644","77,573,181","74,349,618","67,778,921","64,146,848","63,828,030","64,198,627","58,682,019","53,377,064","54,643,021","57,225,542","70,642,755"
