"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","327,112,674","355,936,280","274,408,463","244,477,255","317,244,361","315,381,533","406,341,320","310,263,868","217,432,531","335,524,139","304,278,921","325,657,332"
"4112","賃貸料収入","2,930,779","4,442,160","4,281,815","4,120,051","5,446,404","4,730,670","4,693,503","4,503,179","4,016,865","5,340,102","4,741,143","5,097,730"
"4113","ＬＬＰ収益","0","0","0","170,850,274","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","730,408","825,511","121,687","0","795,262","704,114","1,039,590","730,800","274,030","88,824","137,528","147,811"
,"純売上高","329,313,045","359,552,929","278,568,591","419,447,580","321,895,503","319,408,089","409,995,233","314,036,247","221,175,366","340,775,417","308,882,536","330,607,251"
"5111","期首棚卸高","53,500,068","54,776,822","57,028,346","60,856,598","76,929,519","88,532,713","85,959,832","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250"
"5211","商品仕入高","70,453,830","80,721,571","54,358,944","39,739,853","82,449,274","82,693,079","133,418,342","62,065,116","47,103,015","83,936,505","81,056,020","77,294,970"
"5212","通信商品仕入高","115,156,369","120,219,791","116,452,921","141,448,942","82,468,501","59,831,390","80,770,218","72,229,512","60,574,790","76,842,950","70,830,860","54,062,884"
"5215","ｺﾐｯｼｮﾝ清掃代","30,790","33,143","13,430","24,673","79,206","43,127","38,993","32,173","35,191","16,100","28,698","32,080"
"5216","ＬＬＰ原価","0","0","0","99,963,208","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","54,776,822","57,028,346","60,856,598","76,929,519","88,532,713","85,959,832","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463"
,"当期売上原価","184,364,235","198,722,981","166,997,043","265,103,755","153,393,787","145,140,477","187,158,664","145,005,174","112,213,322","170,137,594","140,129,311","149,612,721"
,"売上総利益","144,948,810","160,829,948","111,571,548","154,343,825","168,501,716","174,267,612","222,836,569","169,031,073","108,962,044","170,637,823","168,753,225","180,994,530"
"6111","給与手当","38,007,316","37,956,231","36,738,257","36,789,353","37,491,605","38,628,536","38,791,555","36,866,187","36,257,782","36,520,401","38,394,042","37,699,110"
"6311","雑給","28,316,212","31,170,988","28,518,891","-8,163,850","32,118,559","32,867,959","39,238,764","35,221,992","30,297,113","35,758,165","34,752,652","38,044,472"
"6112","旅費交通費","2,525,391","2,655,994","2,071,914","2,440,810","3,004,738","2,824,978","2,788,867","3,102,120","2,210,356","2,531,115","2,543,705","2,638,842"
"6113","広告宣伝費","8,396,759","10,863,657","6,007,487","8,133,665","10,723,931","8,957,803","12,439,437","11,164,906","7,538,882","10,819,319","10,709,303","12,039,974"
"6114","販売促進費","2,274,401","1,341,387","2,321,278","1,587,747","2,362,318","2,991,811","3,183,522","1,830,014","1,721,759","1,959,584","2,573,039","2,327,147"
"6115","荷造発送費","317,734","392,745","271,372","234,750","366,125","320,738","409,058","306,974","270,264","318,711","327,584","338,226"
"6116","外注費","3,705,552","5,201,320","1,426,400","2,379,158","4,617,843","3,594,124","4,791,210","3,656,849","3,878,552","4,222,852","3,747,067","2,270,030"
"6117","支払手数料","10,083,178","18,116,238","8,944,369","7,712,155","10,266,141","14,942,311","12,670,920","12,802,033","13,114,472","10,884,991","12,239,640","16,317,221"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","3,152,083","1,302,083","0","2,371,326","0","-1,220,000","1,600,000","0","0","660,000","496,250","8,717,782"
"6312","法定福利費","5,743,981","6,587,466","7,038,546","6,926,778","6,322,379","6,785,222","6,614,524","6,970,814","6,552,252","7,134,627","6,525,870","8,502,566"
"6226","厚生費","6,325,786","2,198,636","616,325","923,329","886,843","1,686,802","1,779,941","4,350,028","2,238,974","6,073,581","7,320,073","2,433,016"
"6119","退職金","0","0","0","0","0","2,000,000","0","0","0","0","0","0"
"6214","減価償却費","13,692,182","13,692,182","13,692,182","14,155,794","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","23,386,593","24,475,174","24,014,644","23,925,066","25,157,867","25,791,804","26,200,255","25,610,807","25,546,759","25,848,341","25,656,488","26,169,367"
"6216","修繕／車両関係費","2,079,522","9,494,530","1,352,683","1,417,766","2,555,264","662,751","1,834,454","555,379","5,700,423","879,331","176,267","4,362,117"
"6217","事務用消耗品費","44,699","45,052","53,090","16,837","61,107","63,829","38,076","57,011","26,279","30,755","33,703","16,369"
"6218","通信交通費","899,603","297,779","1,271,975","1,184,371","320,291","1,253,420","372,701","1,154,647","700,561","676,257","278,520","1,219,507"
"6219","水道光熱費","9,392,772","10,361,674","11,332,427","4,665,734","8,549,626","9,983,101","10,342,259","12,106,560","11,943,458","10,333,184","10,619,834","11,458,517"
"6221","租税公課","8,900","153,000","560,490","3,048,610","52,600","296,400","31,400","74,790","34,600","82,500","89,400","4,686,500"
"6222","寄付金","44,000","30,000","70,000","50,000","0","4,000","7,000","42,000","0","0","49,000","20,000"
"6223","接待交際費","570,566","1,340,221","844,105","791,261","781,303","1,086,615","1,933,051","1,614,751","369,276","1,225,931","651,865","1,032,787"
"6224","保険料","757,837","777,847","757,837","1,689,534","779,857","855,227","698,887","728,177","757,207","750,707","667,947","657,907"
"6225","備品消耗品費","12,261,608","9,289,180","6,116,460","11,234,653","7,201,457","9,693,282","11,355,925","6,514,438","6,426,292","7,448,254","8,501,141","7,644,261"
"6227","管理諸費","5,219,075","4,109,152","4,877,074","4,245,520","3,068,653","7,966,436","4,652,601","3,885,945","6,294,913","4,018,348","4,120,287","6,116,848"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","234,800","316,800","82,400","76,800","322,800","160,300","139,800","287,600","51,800","160,300","578,102","343,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
