"ｺｰﾄﾞ","勘定科目名"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"
"4111","売上高","317,244,361","315,381,533","406,341,320","310,263,868","217,432,531","335,524,139","304,278,921","325,670,724","284,812,391","315,738,782","329,003,204","322,721,718"
"4112","賃貸料収入","5,446,404","4,730,670","4,693,503","4,503,179","4,016,865","5,340,102","4,741,143","5,097,730","4,454,350","4,336,879","6,586,797","5,049,107"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","212,485,969"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","795,262","704,114","1,039,590","730,800","274,030","88,824","137,528","147,811","126,433","148,007","126,583","132,052"
,"純売上高","321,895,503","319,408,089","409,995,233","314,036,247","221,175,366","340,775,417","308,882,536","330,620,643","289,140,308","319,927,654","335,463,418","540,124,742"
"5111","期首棚卸高","76,929,519","88,532,713","85,959,832","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684"
"5211","商品仕入高","82,449,274","82,693,079","133,418,342","62,065,116","47,103,015","83,936,505","81,056,020","77,294,970","71,631,534","79,516,841","97,367,887","98,669,041"
"5212","通信商品仕入高","82,468,501","59,831,390","80,770,218","72,229,512","60,574,790","76,842,950","70,830,860","54,062,884","53,092,554","60,390,586","48,652,126","64,833,856"
"5215","ｺﾐｯｼｮﾝ清掃代","79,206","43,127","38,993","32,173","35,191","16,100","28,698","32,080","33,624","22,880","28,279","35,822"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","106,992,013"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","88,532,713","85,959,832","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,327,330"
,"当期売上原価","153,393,787","145,140,477","187,158,664","145,005,174","112,213,322","170,137,594","140,129,311","149,612,721","129,455,067","138,156,065","142,983,958","256,416,086"
,"売上総利益","168,501,716","174,267,612","222,836,569","169,031,073","108,962,044","170,637,823","168,753,225","181,007,922","159,685,241","181,771,589","192,479,460","283,708,656"
"6111","給与手当","37,491,605","38,628,536","38,791,555","36,866,187","36,257,782","36,520,401","38,394,042","37,699,110","37,510,361","36,161,891","36,624,843","-15,705,184"
"6311","雑給","32,118,559","32,867,959","39,238,764","35,221,992","30,297,113","35,758,165","34,752,652","38,044,472","34,963,964","37,104,354","38,711,572","36,062,901"
"6112","旅費交通費","3,004,738","2,824,978","2,788,867","3,102,120","2,210,356","2,531,115","2,543,705","2,638,842","2,539,292","2,782,933","2,722,515","2,679,998"
"6113","広告宣伝費","10,723,931","8,957,803","12,439,437","11,164,906","7,538,882","10,819,319","10,709,303","12,043,701","12,038,051","10,540,240","10,681,698","11,064,277"
"6114","販売促進費","2,362,318","2,991,811","3,183,522","1,830,014","1,721,759","1,959,584","2,573,039","2,327,147","2,186,229","2,662,127","3,194,570","2,993,931"
"6115","荷造発送費","366,125","320,738","409,058","306,974","270,264","318,711","327,584","338,226","332,764","334,576","334,904","333,465"
"6116","外注費","4,617,843","3,594,124","4,791,210","3,656,849","3,878,552","4,222,852","3,747,067","2,270,030","2,171,113","4,173,313","5,576,839","4,080,330"
"6117","支払手数料","10,266,141","14,942,311","12,670,920","12,802,033","13,114,472","10,884,991","12,239,640","19,878,140","12,034,439","13,107,721","14,489,414","15,441,748"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","20,650,002"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","-1,220,000","1,600,000","0","0","660,000","496,250","9,838,615","2,442,375","2,232,375","2,442,375","2,454,703"
"6312","法定福利費","6,322,379","6,785,222","6,614,524","6,970,814","6,552,252","7,134,627","6,525,870","8,502,566","7,948,237","9,261,934","5,834,331","12,892,991"
"6226","厚生費","886,843","1,686,802","1,779,941","4,350,028","2,238,974","6,073,581","7,320,073","2,433,071","4,923,825","7,436,159","2,357,544","3,928,695"
"6119","退職金","0","2,000,000","0","0","0","0","0","0","1,600,000","0","0","0"
"6214","減価償却費","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914"
