"ｺｰﾄﾞ","勘定科目名"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"
"4111","売上高","514,866,688","536,834,142","335,537,318","379,609,964","202,025,452","202,767,157","285,139,184","379,321,658","393,455,462","954,145,867","389,845,824","358,831,001"
"4112","賃貸料収入","2,964,542","4,060,069","3,505,940","3,463,263","3,397,431","3,819,795","3,194,126","3,205,778","2,416,070","8,161,629","3,111,270","2,854,206"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","222,779,500","0","0"
"4114","通信売上高","113,781,392","74,355,264","99,822,367","120,048,759","0","0","0","0","0","-595,449,683","0","75,992,598"
"4115","売上値引戻り高    (△)","2,606,533","2,354,878","1,860,088","1,747,312","206,779","339,412","935,276","969,173","1,025,752","1,067,953","1,136,087","920,681"
,"純売上高","629,006,089","612,894,597","437,005,537","501,374,674","205,216,104","206,247,540","287,398,034","381,558,263","394,845,780","588,569,360","391,821,007","436,757,124"
"5111","期首たな卸高","86,646,689","105,781,407","79,809,644","77,573,181","74,349,618","67,778,921","64,146,848","63,828,030","64,198,627","58,682,019","53,377,064","54,643,021"
"5211","商品仕入高","248,785,730","222,414,947","129,688,640","190,740,484","74,175,397","63,191,614","65,453,943","77,897,636","73,076,277","69,470,470","88,009,406","90,980,712"
"5212","通信商品仕入高","98,211,466","96,094,691","83,413,788","101,044,427","47,419,460","50,820,474","68,762,638","134,180,793","142,088,597","120,466,857","119,044,749","157,090,083"
"5215","ｺﾐｯｼｮﾝ清掃代","35,301","38,670","29,708","33,222","0","86,259","30,350","13,040","36,790","29,503","34,951","64,236"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","104,410,770","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","105,781,407","79,809,644","77,573,181","74,349,618","67,778,921","64,146,848","63,828,030","64,198,627","58,682,019","53,377,064","54,643,021","57,557,778"
,"当期売上原価","327,897,779","344,520,071","215,368,599","295,041,696","128,165,554","117,730,420","134,565,749","211,720,872","220,718,272","299,682,555","205,823,149","245,220,274"
,"売上総利益","301,108,310","268,374,526","221,636,938","206,332,978","77,050,550","88,517,120","152,832,285","169,837,391","174,127,508","288,886,805","185,997,858","191,536,850"
"6111","給与手当","46,115,317","42,798,916","42,409,841","40,414,963","39,246,770","36,403,638","40,233,195","40,200,036","40,196,496","41,387,606","41,585,291","41,404,038"
"6311","雑給","55,497,713","49,643,752","45,737,548","41,940,394","28,663,765","27,460,899","32,499,498","35,324,006","36,131,194","-51,391,167","38,003,952","37,555,481"
"6112","旅費交通費","3,374,871","1,879,686","3,295,449","2,896,869","1,990,477","1,145,049","2,412,752","2,386,006","2,400,169","2,919,622","2,975,635","2,709,960"
"6113","広告宣伝費","21,516,615","17,451,435","16,379,992","18,876,836","6,441,147","5,408,598","11,100,476","10,687,183","11,360,165","12,010,151","14,436,283","13,992,220"
"6114","販売促進費","3,332,676","3,455,007","2,986,021","3,671,241","1,312,573","691,060","1,607,085","1,726,402","1,684,583","1,898,769","1,893,961","2,507,668"
