"ｺｰﾄﾞ","勘定科目名"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"
"4111","売上高","3,483,057","5,670,662","4,888,450","11,550,866","-1,003,940","4,860,831","4,225,688","3,536,419","3,583,380","3,933,427","10,692,818","6,462,286"
"4112","賃貸料収入","2,819,081","2,680,779","4,192,160","4,031,815","2,270,051","5,196,404","4,480,670","4,443,503","4,253,179","3,766,865","5,090,102","4,491,143"
"4113","ＬＬＰ収益","0","0","0","0","170,850,274","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,302,138","8,351,441","9,080,610","15,582,681","172,116,385","10,057,235","8,706,358","7,979,922","7,836,559","7,700,292","15,782,920","10,953,429"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","11,200","0","5,141,000","48,500"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","42,086","30,790","33,143","13,430","24,673","79,206","43,127","38,993","32,173","35,191","16,100","28,698"
"5216","ＬＬＰ原価","0","0","0","0","99,963,208","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","42,086","30,790","33,143","13,430","99,987,881","79,206","43,127","38,993","43,373","35,191","5,157,100","77,198"
,"売上総利益","6,260,052","8,320,651","9,047,467","15,569,251","72,128,504","9,978,029","8,663,231","7,940,929","7,793,186","7,665,101","10,625,820","10,876,231"
"6111","給与手当","3,212,556","2,681,909","2,843,000","2,806,470","2,797,728","1,812,500","1,814,500","1,845,500","1,814,500","1,814,500","1,904,500","2,832,000"
"6311","雑給","471,365","482,619","280,668","415,146","-34,900,963","295,783","277,384","302,891","279,360","272,178","294,516","285,955"
"6112","旅費交通費","347,807","672,611","726,973","501,737","914,498","931,795","928,987","676,377","732,378","494,164","421,184","630,020"
"6113","広告宣伝費","1,119,746","596,095","855,471","531,459","81,291","860,967","412,838","1,018,233","531,550","427,654","461,462","486,291"
"6114","販売促進費","32,073","0","43,491","316,773","125,776","189,436","5,040","-168","0","0","44,930","0"
"6115","荷造発送費","2,425","1,751","12,830","10,420","1,180","3,010","1,180","21,104","2,975","590","1,070","1,800"
"6116","外注費","839,955","500,000","1,258,375","500,000","527,440","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
"6117","支払手数料","1,141,910","457,602","7,928,406","680,865","360,347","606,105","3,179,853","804,338","683,613","3,769,474","544,676","701,456"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","150,000","0","0","5,809,658","0","0","100,000","0","0","0","0"
"6312","法定福利費","7,917,966","-1,403,601","-553,789","-88,709","-242,862","-633,392","-170,549","-639,576","-33,680","-584,389","98,749","-504,769"
"6226","厚生費","6,261,663","4,861,387","1,287,402","233,481","263,790","383,824","930,091","685,644","890,656","754,955","4,161,538","4,888,273"
"6119","退職金","0","0","0","0","0","0","2,000,000","0","0","0","0","0"
