"ｺｰﾄﾞ","勘定科目名"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"
"4111","売上高","277,088,555","270,859,673","77,706,567","85,694,716","177,941,803","212,369,088","215,819,776","208,092,697","251,172,672","251,852,232","257,493,074","194,331,360"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","1,860,088","1,747,312","206,779","339,412","935,276","969,173","1,025,752","1,067,953","1,136,087","920,681","936,594","329,842"
,"純売上高","275,228,467","269,112,361","77,499,788","85,355,304","177,006,527","211,399,915","214,794,024","207,024,744","250,036,585","250,931,551","256,556,480","194,001,518"
"5111","期首たな卸高","65,948,050","62,014,153","61,036,685","54,579,271","51,716,180","52,207,858","51,745,924","47,160,451","41,999,188","41,263,187","44,605,773","58,761,006"
"5211","商品仕入高","93,599,569","94,414,868","26,868,007","30,706,249","65,301,647","77,863,636","73,048,346","69,314,851","87,835,858","91,565,418","110,993,961","53,698,403"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","62,014,153","61,036,685","54,579,271","51,716,180","52,207,858","51,745,924","47,160,451","41,999,188","41,263,187","44,605,773","58,761,006","42,140,668"
,"当期売上原価","97,533,466","95,392,336","33,325,421","33,569,340","64,809,969","78,325,570","77,633,819","74,476,114","88,571,859","88,222,832","96,838,728","70,318,741"
,"売上総利益","177,695,001","173,720,025","44,174,367","51,785,964","112,196,558","133,074,345","137,160,205","132,548,630","161,464,726","162,708,719","159,717,752","123,682,777"
"6111","給与手当","29,544,172","27,195,169","26,206,397","24,235,282","27,822,505","27,687,555","27,159,389","26,581,792","27,383,148","27,537,115","27,136,601","26,501,304"
"6311","雑給","43,564,228","40,267,939","27,323,916","26,280,545","31,088,711","33,554,934","34,522,483","34,351,796","36,369,958","36,011,624","37,438,648","32,219,841"
"6112","旅費交通費","1,752,670","1,767,254","1,200,824","781,469","1,745,284","1,716,523","1,717,435","1,761,313","1,983,247","1,949,834","1,688,541","1,735,862"
"6113","広告宣伝費","13,956,539","15,432,022","5,699,357","4,884,815","9,934,158","9,796,653","10,618,501","10,547,565","12,891,555","13,237,569","14,926,644","11,836,743"
"6114","販売促進費","2,458,297","2,681,743","654,365","543,080","1,340,023","1,101,299","1,327,573","1,446,032","1,079,482","2,307,983","2,463,507","1,974,011"
"6115","荷造発送費","394,427","297,099","195,089","195,508","262,410","292,920","296,490","277,601","299,923","270,823","304,502","255,660"
"6116","外注費","63,636","63,636","0","0","118,182","9,091","0","0","0","0","18,182","0"
"6117","支払手数料","10,407,717","11,193,717","5,864,958","4,687,543","6,391,014","8,498,033","8,842,202","9,466,972","10,160,767","10,212,566","10,776,608","9,047,067"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","1,549,000","1,549,000","0","0","0","0","0","0","0","0","5,145,000","0"
"6312","法定福利費","5,673,504","5,708,937","5,723,817","5,638,581","5,256,170","5,176,147","5,140,400","5,293,938","5,384,630","5,384,630","6,045,174","5,327,276"
"6226","厚生費","2,095,366","1,597,541","191,152","321,337","446,946","1,353,682","940,120","1,106,376","1,196,209","1,708,317","239,995","281,697"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","16,411,618","7,745,934","7,745,934","7,745,934","7,745,934"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","23,542,523","23,298,454","16,057,068","13,319,823","22,611,467","21,215,875","21,300,703","20,327,708","20,132,578","20,816,359","21,055,417","20,538,981"
"6216","修繕／車両関係費","3,390,896","2,525,351","575,867","138,000","1,888,854","371,345","739,240","1,809,553","1,602,490","1,375,700","296,500","1,294,065"
"6217","事務用消耗品費","136,060","24,017","54,296","18,157","41,778","66,950","62,674","35,841","58,265","51,999","81,135","67,933"
"6218","通信交通費","187,598","523,840","356,228","227,147","530,494","353,959","368,767","391,357","201,806","612,155","185,255","585,814"
"6219","水道光熱費","11,809,957","11,223,816","9,808,574","7,271,504","6,205,013","8,755,058","10,260,961","14,030,905","10,205,754","9,244,946","8,042,409","9,805,260"
"6221","租税公課","43,000","33,000","4,000","2,400","9,000","17,891","14,000","4,600","9,000","8,000","13,150","109,900"
"6222","寄付金","0","20,000","0","14,000","30,000","0","90,000","0","0","30,000","0","10,000"
"6223","接待交際費","27,734","0","0","10,000","0","1,000","4,200","3,234","24,222","0","3,200","4,509"
"6224","保険料","891,067","891,067","891,067","891,067","891,067","891,067","891,067","922,731","876,067","891,067","876,067","891,067"
"6225","備品消耗品費","7,753,083","8,355,303","5,763,567","4,654,608","7,722,072","7,356,461","9,467,384","14,466,699","8,563,114","10,692,618","11,123,793","6,082,711"
"6227","管理諸費","4,223,684","4,854,093","2,508,946","1,675,147","1,730,062","3,230,951","2,484,977","3,214,057","3,000,153","2,030,894","2,646,649","2,569,365"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","15,300","54,300","55,800","81,800","71,800","114,800","50,800","42,800","116,300","63,800","98,800","124,200"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","17,150","0","0","0"
"6231","雑費","0","0","2,000","0","3,300","0","0","4,213","17,199","0","30,195","20,290"
,"販売費及び一般管理費計","171,586,464","167,663,304","117,243,294","103,977,819","134,246,316","139,668,200","144,405,372","162,498,701","149,318,951","152,183,933","158,381,906","139,029,490"
,"営業利益（損失）","6,108,537","6,056,721","-73,068,927","-52,191,855","-22,049,758","-6,593,855","-7,245,167","-29,950,071","12,145,775","10,524,786","1,335,846","-15,346,713"
"7111","受取利息","0","0","0","0","0","0","164","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","465,213","1,415,866","359,214","480,457","527,401","408,305","333,870","357,880","346,807","749,408","2,531,841","509,507"
,"営業外収益計","465,213","1,415,866","359,214","480,457","527,401","408,305","334,034","357,880","346,807","749,408","2,531,841","509,507"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-598","3,912","-591","-98","-180","1,301","21,121","426","3,417","-2,635","540","-46"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","8,063,407","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-598","3,912","-591","-98","-180","1,301","21,121","8,063,833","3,417","-2,635","540","-46"
,"経常利益（損失）","6,574,348","7,468,675","-72,709,122","-51,711,300","-21,522,177","-6,186,851","-6,932,254","-37,656,024","12,489,165","11,276,829","3,867,147","-14,837,160"
