"ｺｰﾄﾞ","勘定科目名"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"
"4111","売上高","85,694,716","177,941,803","212,369,088","215,819,776","208,092,697","251,172,672","251,852,232","257,493,074","194,331,360","171,430,080","240,778,748","186,702,876"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","339,412","935,276","969,173","1,025,752","1,067,953","1,136,087","920,681","936,594","329,842","925,070","848,978","751,864"
,"純売上高","85,355,304","177,006,527","211,399,915","214,794,024","207,024,744","250,036,585","250,931,551","256,556,480","194,001,518","170,505,010","239,929,770","185,951,012"
"5111","期首たな卸高","54,579,271","51,716,180","52,207,858","51,745,924","47,160,451","41,999,188","41,263,187","44,605,773","58,761,006","42,140,668","39,627,600","43,294,834"
"5211","商品仕入高","30,706,249","65,301,647","77,863,636","73,048,346","69,314,851","87,835,858","91,565,418","110,993,961","53,697,466","60,064,082","89,798,619","73,590,921"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","51,716,180","52,207,858","51,745,924","47,160,451","41,999,188","41,263,187","44,605,773","58,761,006","42,140,668","39,627,600","43,294,834","47,006,889"
,"当期売上原価","33,569,340","64,809,969","78,325,570","77,633,819","74,476,114","88,571,859","88,222,832","96,838,728","70,317,804","62,577,150","86,131,385","69,878,866"
,"売上総利益","51,785,964","112,196,558","133,074,345","137,160,205","132,548,630","161,464,726","162,708,719","159,717,752","123,683,714","107,927,860","153,798,385","116,072,146"
"6111","給与手当","24,235,282","27,822,505","27,687,555","27,159,389","26,581,792","27,383,148","27,537,115","27,136,601","26,501,304","26,133,701","26,086,451","26,438,112"
"6311","雑給","26,280,545","31,088,711","33,554,934","34,522,483","34,351,796","36,369,958","36,011,624","37,438,648","32,219,841","26,551,828","31,238,144","28,242,588"
"6112","旅費交通費","781,469","1,745,284","1,716,523","1,717,435","1,761,313","1,983,247","1,949,834","1,688,541","1,734,335","1,322,295","1,831,742","1,511,197"
"6113","広告宣伝費","4,884,815","9,934,158","9,796,653","10,618,501","10,547,565","12,891,555","13,237,569","14,926,644","11,836,743","9,167,465","12,931,736","11,123,535"
"6114","販売促進費","543,080","1,340,023","1,101,299","1,327,573","1,446,032","1,079,482","2,307,983","2,463,507","1,974,011","3,614,362","2,366,897","3,238,687"
"6115","荷造発送費","195,508","262,410","292,920","296,490","277,601","299,923","270,823","304,502","255,660","235,234","300,118","287,051"
"6116","外注費","0","118,182","9,091","0","0","0","0","18,182","0","0","0","0"
"6117","支払手数料","4,687,543","6,391,014","8,498,033","8,842,202","9,466,972","10,160,767","10,212,566","10,776,608","9,270,666","7,963,757","9,790,538","9,251,450"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","5,145,000","0","0","0","0"
"6312","法定福利費","5,638,581","5,256,170","5,176,147","5,140,400","5,293,938","5,384,630","5,384,630","6,045,174","5,327,276","5,303,917","5,314,690","5,304,049"
"6226","厚生費","321,337","446,946","1,353,682","940,120","1,106,376","1,196,209","1,708,317","239,995","281,697","54,713","613,227","511,835"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","8,106,006","8,106,006","8,106,006","8,106,006","16,411,618","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934"
