"ｺｰﾄﾞ","勘定科目名"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"
"4111","売上高","194,331,360","171,430,080","240,778,748","186,702,876","200,378,252","183,140,731","204,355,427","120,296,994","87,652,799","213,570,292","224,208,044","302,800,127"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","1,600,000","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","329,842","925,070","848,978","751,864","794,574","730,408","825,511","121,687","0","795,262","704,114","3,453,724"
,"純売上高","194,001,518","170,505,010","239,929,770","185,951,012","199,583,678","182,410,323","203,529,916","120,175,307","89,252,799","212,775,030","223,503,930","299,346,403"
"5111","期首棚卸高","58,761,006","42,140,668","39,627,600","43,294,834","47,006,889","42,437,720","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853"
"5211","商品仕入高","53,697,466","60,064,082","89,798,619","73,580,921","67,770,142","70,453,830","80,721,571","54,358,944","39,617,619","82,220,659","82,693,079","133,368,007"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","42,140,668","39,627,600","43,294,834","47,006,889","42,437,720","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719"
,"当期売上原価","70,317,804","62,577,150","86,131,385","69,868,866","72,339,311","70,312,940","78,376,495","49,218,868","35,717,435","80,429,203","82,392,628","111,443,141"
,"売上総利益","123,683,714","107,927,860","153,798,385","116,082,146","127,244,367","112,097,383","125,153,421","70,956,439","53,535,364","132,345,827","141,111,302","187,903,262"
"6111","給与手当","26,501,304","26,133,701","26,086,451","26,438,112","26,155,274","25,102,970","24,918,366","23,316,900","23,621,094","25,384,186","25,237,453","26,808,691"
"6311","雑給","32,219,841","26,551,828","31,238,144","28,242,588","28,500,395","26,907,918","30,070,970","27,343,845","26,042,613","31,112,626","31,911,350","38,254,460"
"6112","旅費交通費","1,734,335","1,322,295","1,831,742","1,511,197","1,763,992","1,542,684","1,657,836","1,331,864","1,308,829","1,848,817","1,683,317","1,922,177"
"6113","広告宣伝費","11,836,743","9,167,465","12,931,736","11,029,585","8,043,312","7,426,114","9,765,714","5,322,084","7,752,887","9,537,387","8,241,316","11,170,189"
"6114","販売促進費","1,974,011","3,614,362","2,366,897","3,238,687","2,182,404","2,205,397","802,832","1,747,955","1,334,449","1,956,401","2,319,096","2,362,642"
"6115","荷造発送費","255,660","235,234","300,118","287,051","345,686","315,983","378,548","258,682","230,990","362,275","317,109","379,661"
"6116","外注費","0","0","0","0","0","0","0","0","0","18,182","0","0"
"6117","支払手数料","9,270,666","7,963,757","9,790,538","9,251,450","8,988,002","9,016,017","9,657,325","7,691,263","6,675,721","9,122,852","11,175,023","11,254,696"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","1,700,000","0","0","0","0","0","1,500,000"
"6312","法定福利費","5,327,276","5,303,917","5,314,690","5,304,049","5,244,574","5,325,700","5,234,309","5,220,309","5,323,343","5,145,755","5,145,755","5,444,084"
"6226","厚生費","281,697","54,713","613,227","511,835","309,572","1,181,492","815,529","327,523","622,230","371,107","646,020","883,511"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","13,097,966","9,018,208","9,018,208","9,018,208"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","20,538,981","20,007,760","19,629,007","19,746,313","19,887,812","19,854,048","20,894,902","19,890,338","20,178,885","21,511,686","20,989,623","21,948,074"
"6216","修繕／車両関係費","1,294,065","1,139,145","631,760","1,476,990","1,575,500","1,847,522","9,035,487","521,530","1,000,566","2,482,535","589,751","798,975"
"6217","事務用消耗品費","67,933","23,040","92,213","109,324","46,109","44,699","45,052","46,650","16,837","61,107","63,829","38,076"
"6218","通信交通費","585,814","334,283","719,149","377,284","400,579","359,451","222,550","537,455","349,964","193,110","505,587","303,439"
"6219","水道光熱費","9,805,260","8,755,057","8,704,893","8,267,576","9,007,562","8,942,590","9,986,485","10,813,703","10,270,205","8,013,847","9,566,333","9,915,699"
"6221","租税公課","109,900","0","11,900","3,000","9,000","2,900","6,000","18,490","10,600","40,600","38,800","20,900"
"6222","寄付金","10,000","0","0","69,000","40,000","14,000","30,000","70,000","30,000","0","4,000","7,000"
"6223","接待交際費","4,509","0","0","4,949","1,580","0","0","3,727","37,408","0","0","12,311"
"6224","保険料","891,067","891,067","891,067","891,067","891,067","906,067","892,175","842,175","1,651,528","875,145","869,307","856,067"
"6225","備品消耗品費","6,104,847","6,094,610","13,995,471","11,493,414","11,067,489","11,972,055","9,098,201","5,463,402","11,058,065","6,372,931","9,329,872","10,853,189"
"6227","管理諸費","2,569,365","2,333,193","2,382,354","2,913,357","3,770,396","4,019,473","2,711,562","2,602,947","1,855,410","2,683,132","2,703,228","2,932,763"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","124,200","105,800","50,300","126,300","73,800","93,800","99,800","48,400","40,800","115,800","60,300","69,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","20,290","0","11,485","19,249","4,000","0","10,361","65,000","0","30,580","0","3,214"
,"販売費及び一般管理費計","139,273,698","127,777,161","145,339,076","139,058,311","136,054,039","136,526,814","144,079,938","121,230,176","132,510,390","136,258,269","140,415,277","156,757,826"
,"営業利益（損失）","-15,589,984","-19,849,301","8,459,309","-22,976,165","-8,809,672","-24,429,431","-18,926,517","-50,273,737","-78,975,026","-3,912,442","696,025","31,145,436"
"7111","受取利息","0","0","0","0","0","0","0","0","172","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","509,507","1,494,133","2,835,862","416,354","1,353,271","462,290","421,446","756,967","1,469,518","279,993","343,728","384,383"
,"営業外収益計","509,507","1,494,133","2,835,862","416,354","1,353,271","462,290","421,446","756,967","1,469,690","279,993","343,728","384,383"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-46","-308","-632","0","1,100","2,888","8,900","5,750","9,962","-8,157","29,819","1,182"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","8,302,250","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-46","-308","-632","0","1,100","2,888","8,900","5,750","8,312,212","-8,157","29,819","1,182"
,"経常利益（損失）","-15,080,431","-18,354,860","11,295,803","-22,559,811","-7,457,501","-23,970,029","-18,513,971","-49,522,520","-85,817,548","-3,624,292","1,009,934","31,528,637"
