"ｺｰﾄﾞ","勘定科目名"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"
"4111","売上高","240,778,748","186,702,876","200,378,252","183,140,731","204,355,427","120,296,994","87,652,799","213,570,292","224,208,044","300,385,993","215,691,603","128,281,031"
"4112","賃貸料収入","0","0","0","0","0","0","1,600,000","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","848,978","751,864","794,574","730,408","825,511","121,687","0","795,262","704,114","1,039,590","730,800","274,030"
,"純売上高","239,929,770","185,951,012","199,583,678","182,410,323","203,529,916","120,175,307","89,252,799","212,775,030","223,503,930","299,346,403","214,960,803","128,007,001"
"5111","期首棚卸高","39,627,600","43,294,834","47,006,889","42,437,720","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728"
"5211","商品仕入高","89,798,619","73,580,921","67,770,142","70,453,830","80,721,571","54,358,944","39,617,619","82,220,659","82,693,079","133,418,337","61,844,418","47,103,015"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","43,294,834","47,006,889","42,437,720","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,322,878"
,"当期売上原価","86,131,385","69,868,866","72,339,311","70,312,940","78,376,495","49,218,868","35,717,435","80,429,203","82,392,628","111,493,471","77,134,409","51,470,865"
,"売上総利益","153,798,385","116,082,146","127,244,367","112,097,383","125,153,421","70,956,439","53,535,364","132,345,827","141,111,302","187,852,932","137,826,394","76,536,136"
"6111","給与手当","26,086,451","26,438,112","26,155,274","25,102,970","24,918,366","23,316,900","23,621,094","25,384,186","25,237,453","26,808,691","24,924,003","24,213,828"
"6311","雑給","31,238,144","28,242,588","28,500,395","26,907,918","30,070,970","27,343,845","26,042,613","31,112,626","31,911,350","38,254,460","34,326,382","29,413,063"
"6112","旅費交通費","1,831,742","1,511,197","1,763,992","1,542,684","1,657,836","1,331,864","1,308,829","1,848,817","1,683,317","1,922,177","2,135,373","1,532,634"
"6113","広告宣伝費","12,931,736","11,029,585","8,043,312","7,426,114","9,765,714","5,322,084","7,752,887","9,537,387","8,241,316","11,170,189","10,226,824","6,729,567"
"6114","販売促進費","2,366,897","3,238,687","2,182,404","2,205,397","802,832","1,747,955","1,334,449","1,956,401","2,319,096","2,365,097","1,429,204","1,174,117"
"6115","荷造発送費","300,118","287,051","345,686","315,983","378,548","258,682","230,990","362,275","317,109","379,661","301,250","263,244"
"6116","外注費","0","0","0","0","0","0","0","18,182","0","0","135,614","0"
"6117","支払手数料","9,790,538","9,251,450","8,988,002","9,016,017","9,657,325","7,691,263","6,675,721","9,122,852","11,175,023","11,343,344","11,466,393","8,484,724"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","1,700,000","0","0","0","0","0","1,500,000","0","0"
"6312","法定福利費","5,314,690","5,304,049","5,244,574","5,325,700","5,234,309","5,220,309","5,323,343","5,145,755","5,145,755","5,444,084","5,166,121","5,245,813"
"6226","厚生費","613,227","511,835","309,572","1,181,492","815,529","327,523","622,230","371,107","646,020","883,511","2,863,428","1,300,839"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","13,097,966","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
