"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","186,702,876","200,378,252","183,140,731","204,355,427","120,296,994","87,652,799","213,570,292","224,208,044","300,385,993","215,691,603","128,281,031","210,428,206"
"4112","賃貸料収入","0","0","0","0","0","1,600,000","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","751,864","794,574","730,408","825,511","121,687","0","795,262","704,114","1,039,590","730,800","274,030","88,824"
,"純売上高","185,951,012","199,583,678","182,410,323","203,529,916","120,175,307","89,252,799","212,775,030","223,503,930","299,346,403","214,960,803","128,007,001","210,339,382"
"5111","期首棚卸高","43,294,834","47,006,889","42,437,720","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,202,905"
"5211","商品仕入高","73,580,921","67,770,142","70,453,830","80,721,571","54,358,944","39,617,619","82,220,659","82,693,079","133,418,337","61,844,418","47,103,015","78,736,684"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","47,006,889","42,437,720","42,578,610","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,202,905","57,611,345"
,"当期売上原価","69,868,866","72,339,311","70,312,940","78,376,495","49,218,868","35,717,435","80,429,203","82,392,628","111,493,471","77,134,409","51,590,838","79,328,244"
,"売上総利益","116,082,146","127,244,367","112,097,383","125,153,421","70,956,439","53,535,364","132,345,827","141,111,302","187,852,932","137,826,394","76,416,163","131,011,138"
"6111","給与手当","26,438,112","26,155,274","25,102,970","24,918,366","23,316,900","23,621,094","25,384,186","25,237,453","26,808,691","24,924,003","24,213,828","24,104,714"
"6311","雑給","28,242,588","28,500,395","26,907,918","30,070,970","27,343,845","26,042,613","31,112,626","31,911,350","38,254,460","34,326,382","29,413,063","34,772,924"
"6112","旅費交通費","1,511,197","1,763,992","1,542,684","1,657,836","1,331,864","1,308,829","1,848,817","1,683,317","1,922,177","2,135,373","1,532,634","1,902,971"
"6113","広告宣伝費","11,029,585","8,043,312","7,426,114","9,765,714","5,322,084","7,752,887","9,537,387","8,241,316","11,170,189","10,226,824","6,729,567","9,653,048"
"6114","販売促進費","3,238,687","2,182,404","2,205,397","802,832","1,747,955","1,334,449","1,956,401","2,319,096","2,365,097","1,429,204","1,174,117","1,388,102"
"6115","荷造発送費","287,051","345,686","315,983","378,548","258,682","230,990","362,275","317,109","379,661","301,250","263,244","316,061"
"6116","外注費","0","0","0","0","0","0","18,182","0","0","135,614","45,576","0"
"6117","支払手数料","9,251,450","8,988,002","9,016,017","9,657,325","7,691,263","6,675,721","9,122,852","11,175,023","11,343,344","11,466,393","8,467,890","9,758,911"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","1,700,000","0","0","0","0","0","1,500,000","0","0","0"
"6312","法定福利費","5,304,049","5,244,574","5,325,700","5,234,309","5,220,309","5,323,343","5,145,755","5,145,755","5,444,084","5,166,121","5,245,813","5,178,460"
"6226","厚生費","511,835","309,572","1,181,492","815,529","327,523","622,230","371,107","646,020","883,511","2,863,428","1,479,019","1,827,866"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","7,745,934","7,745,934","7,745,934","7,745,934","7,745,934","13,097,966","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","19,746,313","19,887,812","19,854,048","20,894,902","19,890,338","20,178,885","21,511,686","20,989,623","21,948,074","21,458,626","21,074,578","21,670,035"
"6216","修繕／車両関係費","1,476,990","1,575,500","1,847,522","9,035,487","521,530","1,000,566","2,482,535","589,751","798,975","541,379","1,734,083","874,331"
"6217","事務用消耗品費","109,324","46,109","44,699","45,052","46,650","16,837","61,107","63,829","38,076","57,011","26,279","30,755"
"6218","通信交通費","377,284","400,579","359,451","222,550","537,455","349,964","193,110","505,587","303,439","602,092","393,323","371,741"
"6219","水道光熱費","8,267,576","9,007,562","8,942,590","9,986,485","10,813,703","10,270,205","8,013,847","9,566,333","9,915,699","12,211,976","11,209,380","9,963,432"
"6221","租税公課","3,000","9,000","2,900","6,000","18,490","10,600","40,600","38,800","20,900","34,790","30,600","68,500"
"6222","寄付金","69,000","40,000","14,000","30,000","70,000","30,000","0","4,000","7,000","0","0","0"
"6223","接待交際費","4,949","1,580","0","0","3,727","37,408","0","0","12,311","48,103","0","0"
"6224","保険料","891,067","891,067","906,067","892,175","842,175","1,651,528","875,145","869,307","856,067","875,725","901,365","902,225"
"6225","備品消耗品費","11,493,414","11,067,489","11,972,055","9,098,201","5,463,402","11,058,065","6,372,931","9,329,872","10,918,382","6,293,991","6,165,125","6,979,901"
"6227","管理諸費","2,913,357","3,770,396","4,019,473","2,711,562","2,602,947","1,855,410","2,683,132","2,703,228","2,932,763","2,753,017","3,480,073","2,896,194"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","126,300","73,800","93,800","99,800","48,400","40,800","115,800","60,300","69,800","157,600","31,800","140,300"
