"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","120,296,994","87,652,799","213,570,292","224,208,044","300,385,993","215,691,603","128,281,031","210,428,206","210,426,478","231,389,879","202,779,910","225,827,981"
"4112","賃貸料収入","0","1,600,000","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","121,687","0","795,262","704,114","1,039,590","730,800","274,030","88,824","137,528","147,811","126,433","148,007"
,"純売上高","120,175,307","89,252,799","212,775,030","223,503,930","299,346,403","214,960,803","128,007,001","210,339,382","210,288,950","231,242,068","202,653,477","225,679,974"
"5111","期首棚卸高","44,923,686","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,202,905","57,611,345","59,315,983","51,591,689","46,428,664"
"5211","商品仕入高","54,358,944","39,617,619","82,220,659","82,693,079","133,418,337","61,844,418","47,103,015","78,736,684","81,005,645","76,191,470","70,710,034","78,473,637"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","50,063,762","53,963,946","55,755,402","56,055,853","77,980,719","62,690,728","58,202,905","57,611,345","59,315,983","51,591,689","46,428,664","44,885,414"
,"当期売上原価","49,218,868","35,717,435","80,429,203","82,392,628","111,493,471","77,134,409","51,590,838","79,328,244","79,301,007","83,915,764","75,873,059","80,016,887"
,"売上総利益","70,956,439","53,535,364","132,345,827","141,111,302","187,852,932","137,826,394","76,416,163","131,011,138","130,987,943","147,326,304","126,780,418","145,663,087"
"6111","給与手当","23,316,900","23,621,094","25,384,186","25,237,453","26,808,691","24,924,003","24,213,828","24,104,714","23,938,905","24,112,627","25,077,747","23,684,500"
"6311","雑給","27,343,845","26,042,613","31,112,626","31,911,350","38,254,460","34,326,382","29,413,063","34,772,924","33,806,652","37,115,857","33,992,717","36,162,757"
"6112","旅費交通費","1,331,864","1,308,829","1,848,817","1,683,317","1,922,177","2,135,373","1,532,634","1,902,971","1,719,198","1,958,884","1,782,702","1,942,620"
"6113","広告宣伝費","5,322,084","7,752,887","9,537,387","8,241,316","11,170,189","10,226,824","6,729,567","9,653,048","10,087,665","10,056,094","9,775,178","9,833,333"
"6114","販売促進費","1,747,955","1,334,449","1,956,401","2,319,096","2,365,097","1,429,204","1,174,117","1,388,102","1,826,405","1,569,797","1,286,938","1,687,549"
"6115","荷造発送費","258,682","230,990","362,275","317,109","379,661","301,250","263,244","316,061","324,098","332,056","330,394","327,441"
"6116","外注費","0","0","18,182","0","0","135,614","45,576","0","334,399","0","0","0"
"6117","支払手数料","7,691,263","6,675,721","9,122,852","11,175,023","11,343,344","11,466,393","8,467,890","9,758,911","10,646,255","14,923,121","10,453,143","11,186,388"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","1,500,000","0","0","0","0","5,283,007","2,290,625","2,290,625"
"6312","法定福利費","5,220,309","5,323,343","5,145,755","5,145,755","5,444,084","5,166,121","5,245,813","5,178,460","5,174,201","5,916,120","6,127,765","5,338,582"
"6226","厚生費","327,523","622,230","371,107","646,020","883,511","2,863,428","1,479,019","1,827,866","2,244,258","1,549,125","2,591,812","2,186,358"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","7,745,934","13,097,966","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208","9,018,208"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","19,890,338","20,178,885","21,511,686","20,989,623","21,948,074","21,458,626","21,074,578","21,670,035","21,477,272","21,769,436","21,344,524","21,693,690"
"6216","修繕／車両関係費","521,530","1,000,566","2,482,535","589,751","798,975","541,379","1,734,083","874,331","176,267","1,849,419","1,884,256","1,396,733"
"6217","事務用消耗品費","46,650","16,837","61,107","63,829","38,076","57,011","26,279","30,755","33,703","16,369","45,494","20,201"
"6218","通信交通費","537,455","349,964","193,110","505,587","303,439","602,092","393,323","371,741","212,396","568,032","385,673","221,827"
"6219","水道光熱費","10,813,703","10,270,205","8,013,847","9,566,333","9,915,699","12,211,976","11,209,380","9,963,432","10,096,652","11,167,316","11,476,161","12,358,679"
