"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","224,283,519","259,247,128","251,383,247","332,982,581","284,070,032","238,220,224","311,471,085","261,859,651","273,182,837","245,771,557","279,349,745","288,359,831"
"4112","賃貸料収入","0","0","0","0","0","0","0","7,500","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","132,052","154,471","117,981","163,358","151,667","143,810","178,535","167,427","161,525","167,884","216,203","173,426"
,"純売上高","224,151,467","259,092,657","251,265,266","332,819,223","283,918,365","238,076,414","311,292,550","261,699,724","273,021,312","245,603,673","279,133,542","288,186,405"
"5111","期首棚卸高","51,731,708","66,801,424","61,189,432","63,134,038","83,998,065","58,467,599","52,905,199","56,149,025","53,346,017","52,779,343","54,222,550","66,426,992"
"5211","商品仕入高","96,873,434","88,761,396","95,127,543","145,843,166","79,783,292","83,848,650","119,723,724","91,636,988","98,382,323","93,498,193","112,088,719","100,382,242"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","66,801,424","61,189,432","63,134,038","83,998,065","58,467,599","52,905,199","56,149,025","53,346,017","52,779,343","54,222,550","66,426,992","63,752,423"
,"当期売上原価","81,803,718","94,373,388","93,182,937","124,979,139","105,313,758","89,411,050","116,479,898","94,439,996","98,948,997","92,054,986","99,884,277","103,056,811"
,"売上総利益","142,347,749","164,719,269","158,082,329","207,840,084","178,604,607","148,665,364","194,812,652","167,259,728","174,072,315","153,548,687","179,249,265","185,129,594"
