"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","268,390,137","273,950,808","381,509,281","312,456,340","256,771,959","330,903,493","248,615,022","264,340,196","259,596,356","269,681,613","310,185,207"
"4112",,"0","0","0","0","0","0","0","0","0","16,729","-16,729","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","188,513","186,254","263,348","247,349","232,812","265,930","177,084","224,540","243,085","1,279,647","952,568"
,"純売上高","0","268,201,624","273,764,554","381,245,933","312,208,991","256,539,147","330,637,563","248,437,938","264,115,656","259,370,000","268,385,237","309,232,639"
"5111","期首棚卸高","0","60,322,578","58,048,642","63,214,005","87,882,380","60,545,013","55,274,197","49,356,482","62,453,575","63,930,675","57,179,235","68,846,636"
"5311","期末棚卸高        (△)","0","58,048,642","63,214,005","87,882,380","60,545,013","55,274,197","49,356,482","62,453,575","63,930,675","57,179,235","68,846,636","69,880,711"
"5211","商品仕入高","0","96,560,272","107,572,279","157,619,029","91,603,692","86,681,349","109,043,445","103,309,405","96,411,357","84,615,557","108,966,275","112,210,442"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","98,834,208","102,406,916","132,950,654","118,941,059","91,952,165","114,961,160","90,212,312","94,934,257","91,366,997","97,298,874","111,176,367"
,"売上総利益","0","169,367,416","171,357,638","248,295,279","193,267,932","164,586,982","215,676,403","158,225,626","169,181,399","168,003,003","171,086,363","198,056,272"
"6111","給与手当","0","23,895,391","22,560,593","23,481,090","23,590,759","23,686,795","23,368,970","23,657,972","22,889,033","23,223,225","23,822,558","24,276,916"
"6311","雑給","0","45,984,592","45,978,359","57,352,597","51,595,892","46,345,230","52,206,915","44,266,734","46,097,157","42,755,227","43,799,796","50,170,783"
"6112","旅費交通費","0","2,299,363","2,422,366","2,463,003","2,378,976","1,856,034","2,726,904","2,371,463","2,676,689","2,296,674","1,637,012","2,291,018"
"6113","広告宣伝費","0","10,883,581","11,999,510","12,667,961","13,509,238","11,374,798","13,332,682","10,327,765","11,130,333","11,618,592","11,644,283","14,348,261"
"6114","販売促進費","0","1,271,355","1,313,797","1,973,973","1,573,133","1,969,213","1,332,924","1,742,409","1,628,057","1,880,503","2,130,308","1,470,527"
"6115","荷造発送費","0","301,750","210,678","348,466","291,458","189,582","195,202","186,078","211,476","232,525","281,157","273,748"
"6116","外注費","0","611,930","609,360","956,473","838,922","356,594","1,001,469","659,000","704,767","498,212","272,724","678,076"
"6117","支払手数料","0","20,641,266","20,599,277","24,495,626","25,853,899","23,469,306","25,326,658","20,803,219","22,102,617","20,967,826","23,881,687","23,244,638"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","1,506,834","1,506,834","2,925,171","1,506,834","1,506,834","1,506,834","1,453,334","1,416,168","1,862,365","1,416,168","1,416,168"
"6312","法定福利費","0","6,477,436","6,701,915","7,833,210","6,621,021","7,223,411","6,437,061","4,632,357","6,421,914","7,748,905","9,839,419","6,591,008"
"6226","厚生費","0","4,094,737","2,461,154","1,348,271","2,530,342","5,130,149","3,216,747","2,800,612","3,134,745","4,514,392","2,053,097","2,594,981"
"6119","退職金","0","0","0","0","0","0","0","0","1,200,000","0","0","0"
"6214","減価償却費","0","6,008,318","6,008,318","6,033,218","6,008,318","6,008,318","6,008,318","4,873,282","5,846,170","5,846,170","5,846,170","5,846,170"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","24,384,105","23,168,442","24,220,347","23,167,244","23,767,798","22,814,065","22,720,952","23,546,408","23,050,125","23,120,247","24,300,201"
"6216","修繕／車両関係費","0","3,141,065","1,771,375","2,883,541","8,226,206","4,901,679","3,582,377","4,573,332","2,613,736","2,843,390","4,174,597","2,596,410"
"6217","事務用消耗品費","0","11,987","4,648","30,260","20,409","41,531","36,569","18,655","3,109","21,017","50,206","64,045"
"6218","通信交通費","0","650,644","482,519","301,409","594,510","499,724","347,935","433,234","296,781","365,134","494,712","209,667"
"6219","水道光熱費","0","13,950,530","11,608,129","10,759,413","12,598,581","12,928,109","10,971,992","11,330,511","12,375,429","11,973,542","14,295,341","16,119,067"
"6221","租税公課","0","34,850","26,500","68,350","31,980","31,570","70,050","4,106,722","318,592","26,500","553,680","24,960"
"6222","寄付金","0","10,000","0","20,000","0","0","0","40,000","0","0","40,000","70,000"
"6223","接待交際費","0","677,915","812,073","727,877","844,934","947,951","1,048,090","808,102","585,361","586,825","347,721","427,012"
"6224","保険料","0","48,000","378,840","206,960","226,420","198,920","189,420","212,332","190,605","190,605","190,605","190,605"
"6225","備品消耗品費","0","7,920,055","9,047,337","11,017,959","5,735,863","6,152,963","10,410,189","8,720,136","7,110,385","6,755,744","9,653,117","13,183,514"
"6227","管理諸費","0","3,643,033","3,808,204","3,565,408","4,172,628","7,418,236","3,880,843","4,079,077","4,289,965","4,286,389","4,753,444","3,767,541"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","182,400"
"6229","諸会費","0","171,800","98,200","62,300","107,800","72,591","52,300","119,800","74,600","18,800","60,300","52,800"
