"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","362,012,063","292,326,975","284,360,516","281,302,795","284,868,982","317,581,611","263,867,381","272,445,082","310,641,963","403,591,037","346,727,846","277,069,464"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","2,426,151","2,020,439","1,999,803","1,868,936","1,895,968","2,320,098","1,972,127","1,649,223","1,917,161","2,606,533","2,354,878","1,860,088"
,"純売上高","359,585,912","290,306,536","282,360,713","279,433,859","282,973,014","315,261,513","261,895,254","270,795,859","308,724,802","400,984,504","344,372,968","275,209,376"
"5111","期首たな卸高","69,983,044","63,573,985","63,089,330","66,390,494","56,076,629","69,166,375","67,338,671","61,018,290","73,958,104","71,619,915","91,129,851","65,948,050"
"5211","商品仕入高","113,744,401","96,945,674","98,425,189","85,079,203","108,513,638","105,045,575","84,484,146","106,380,438","104,008,060","156,865,638","90,095,931","93,474,658"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","63,573,985","63,089,330","66,390,494","56,076,629","69,166,375","67,338,671","61,018,290","73,958,104","71,619,915","91,129,851","65,948,050","62,014,153"
,"当期売上原価","120,153,460","97,430,329","95,124,025","95,393,068","95,423,892","106,873,279","90,804,527","93,440,624","106,346,249","137,355,702","115,277,732","97,408,555"
,"売上総利益","239,432,452","192,876,207","187,236,688","184,040,791","187,549,122","208,388,234","171,090,727","177,355,235","202,378,553","263,628,802","229,095,236","177,800,821"
"6111","給与手当","25,966,103","26,447,296","27,905,828","27,490,667","27,245,726","27,661,601","27,193,909","27,692,419","28,849,037","29,009,434","29,778,107","29,544,172"
"6311","雑給","46,084,787","40,557,434","40,177,097","39,001,022","39,161,319","41,725,299","41,023,280","42,580,275","47,518,922","55,547,713","47,249,991","43,576,814"
"6112","旅費交通費","1,995,270","1,727,445","1,874,554","1,737,264","1,728,952","1,789,485","1,872,340","1,685,037","1,809,619","2,149,278","1,876,331","1,740,084"
"6113","広告宣伝費","19,737,355","16,867,486","15,367,584","15,800,223","15,532,094","17,209,017","15,369,679","16,906,031","16,211,974","16,906,219","15,587,117","13,518,601"
"6114","販売促進費","3,457,784","2,310,023","2,639,118","2,908,573","1,974,357","2,970,632","1,840,042","1,771,880","1,803,799","2,898,105","2,948,309","2,458,006"
"6115","荷造発送費","296,427","282,326","291,530","287,513","279,083","286,954","256,479","329,203","210,594","347,704","295,054","394,427"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","63,636","63,636"
"6117","支払手数料","9,509,333","8,735,032","8,829,078","8,572,584","8,660,020","9,314,869","9,269,010","11,019,358","11,052,699","12,328,381","11,485,090","10,407,717"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","1,549,000","1,549,000","1,549,000","1,578,414","1,549,000","1,549,000","1,549,000","1,549,000","1,549,000","3,514,622","1,662,000","1,549,000"
"6312","法定福利費","5,129,120","5,243,667","5,458,472","6,789,237","5,460,704","5,557,961","5,554,065","5,515,301","5,701,652","7,129,097","5,987,232","5,673,504"
"6226","厚生費","3,199,724","2,536,301","2,485,565","2,495,068","3,619,127","2,762,820","7,009,285","2,190,381","3,012,349","3,123,091","3,069,968","1,477,373"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","8,118,648","8,118,648","8,118,648","8,118,648","8,118,648","8,118,648","13,510,596","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","21,125,998","21,149,838","21,146,700","21,207,042","21,151,873","20,218,430","21,838,942","24,684,538","24,524,454","24,340,334","24,042,608","23,542,523"
"6216","修繕／車両関係費","3,266,670","1,930,332","4,646,913","1,389,209","9,069,343","3,799,092","5,916,571","1,705,373","3,105,892","3,964,154","2,782,118","2,848,532"
"6217","事務用消耗品費","76,701","28,690","115,523","154,629","58,000","123,162","104,351","68,997","90,488","91,028","70,754","136,060"
"6218","通信交通費","191,640","371,013","497,777","186,335","470,451","197,214","504,074","408,344","242,940","354,343","564,558","187,598"
"6219","水道光熱費","12,521,197","11,443,565","11,920,872","10,789,940","12,118,905","12,388,806","15,239,531","13,308,668","12,252,284","10,795,037","12,647,247","11,809,957"
"6221","租税公課","88,746","65,667","46,667","63,833","45,833","49,233","31,827","45,800","51,600","94,491","51,489","43,000"
"6222","寄付金","5,000","20,000","500","25,000","35,000","48,000","0","38,000","48,000","0","14,000","0"
"6223","接待交際費","0","0","0","32,750","1,800","6,144","7,250","0","27,283","0","5,677","27,734"
"6224","保険料","807,638","807,638","807,638","807,638","807,638","807,638","839,348","937,507","909,067","891,067","891,067","891,067"
"6225","備品消耗品費","9,407,758","9,379,241","8,244,926","11,511,189","9,971,161","8,289,624","28,818,353","10,713,295","10,755,106","14,948,869","8,632,722","7,753,083"
"6227","管理諸費","5,973,306","4,852,136","4,746,058","4,356,107","4,468,394","4,274,280","5,238,265","4,019,513","4,566,027","3,815,630","3,886,611","4,170,831"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","110,400","179,500","113,500","121,500","108,500","31,500","129,000","136,800","115,700","35,300","157,300","15,300"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","28,152","0","0","0","0","0"
"6231","雑費","58,971","1,000","0","0","3,356","441,850","3,000","0","0","0","8,200","0"
,"販売費及び一般管理費計","178,677,576","164,603,278","166,983,548","165,424,385","171,639,284","169,621,259","203,146,349","175,411,726","182,514,492","200,389,903","181,863,192","169,935,025"
,"営業利益（損失）","60,754,876","28,272,929","20,253,140","18,616,406","15,909,838","38,766,975","-32,055,622","1,943,509","19,864,061","63,238,899","47,232,044","7,865,796"
"7111","受取利息","0","0","0","0","0","275","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","573,571","439,787","449,257","398,864","3,410,826","555,797","433,380","1,084,486","792,847","1,127,912","551,538","465,213"
,"営業外収益計","573,571","439,787","449,257","398,864","3,410,826","556,072","433,380","1,084,486","792,847","1,127,912","551,538","465,213"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-998","-684","3,170","-4,293","0","4,238","1,162","-390","3,282","940","1,905","-598"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","3,179,523","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-998","-684","3,170","-4,293","0","4,238","3,180,685","-390","3,282","940","1,905","-598"
,"経常利益（損失）","61,329,445","28,713,400","20,699,227","19,019,563","19,320,664","39,318,809","-34,802,927","3,028,385","20,653,626","64,365,871","47,781,677","8,331,607"
