ｺｰﾄﾞ,勘定科目名, 4年  6月, 4年  7月, 4年  8月, 4年  9月, 4年 10月, 4年 11月, 4年 12月, 5年  1月, 5年  2月, 5年  3月, 5年  4月, 5年  5月
4111,売上高,"202,779,910","225,827,981","243,349,501","224,283,519",0,0,0,0,0,0,0,0
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),"126,433","148,007","126,583","132,052",0,0,0,0,0,0,0,0
,純売上高,"202,653,477","225,679,974","243,222,918","224,151,467",0,0,0,0,0,0,0,0
5111,期首棚卸高,"51,591,689","46,428,664","44,885,414","51,731,708",0,0,0,0,0,0,0,0
5211,商品仕入高,"70,710,034","78,473,637","95,981,317","96,873,434",0,0,0,0,0,0,0,0
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),"46,428,664","44,885,414","51,731,708","66,801,424",0,0,0,0,0,0,0,0
,当期売上原価,"75,873,059","80,016,887","89,135,023","81,803,718",0,0,0,0,0,0,0,0
,売上総利益,"126,780,418","145,663,087","154,087,895","142,347,749",0,0,0,0,0,0,0,0
6111,給与手当,"25,077,747","23,684,500","24,392,402","-27,487,717",0,0,0,0,0,0,0,0
6311,雑給,"33,992,717","36,162,757","37,527,703","34,821,008",0,0,0,0,0,0,0,0
6112,旅費交通費,"1,782,702","1,942,620","1,674,016","2,023,767",0,0,0,0,0,0,0,0
6113,広告宣伝費,"9,775,178","9,833,333","9,356,574","10,666,516",0,0,0,0,0,0,0,0
6114,販売促進費,"1,286,938","1,687,549","1,536,925","1,412,917",0,0,0,0,0,0,0,0
6115,荷造発送費,"330,394","327,441","327,584","332,400",0,0,0,0,0,0,0,0
6116,外注費,0,0,"243,792","162,881",0,0,0,0,0,0,0,0
6117,支払手数料,"10,453,143","11,186,388","12,877,420","14,238,748",0,0,0,0,0,0,0,0
6118,,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,"2,290,625","2,290,625","2,290,625","2,302,953",0,0,0,0,0,0,0,0
6312,法定福利費,"6,127,765","5,338,582","5,312,635","5,444,863",0,0,0,0,0,0,0,0
6226,厚生費,"2,591,812","2,186,358","1,967,964","3,316,667",0,0,0,0,0,0,0,0
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"9,018,208","9,018,208","9,018,208","5,542,773",0,0,0,0,0,0,0,0
6234,,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"21,344,524","21,693,690","22,665,146","23,163,183",0,0,0,0,0,0,0,0
6216,修繕／車両関係費,"1,884,256","1,396,733","3,640,362","3,454,076",0,0,0,0,0,0,0,0
6217,事務用消耗品費,"45,494","20,201","30,142","68,808",0,0,0,0,0,0,0,0
6218,通信交通費,"385,673","221,827","544,353","747,471",0,0,0,0,0,0,0,0
6219,水道光熱費,"11,476,161","12,358,679","15,664,571","21,683,494",0,0,0,0,0,0,0,0
6221,租税公課,"17,784","116,400","21,000","211,000",0,0,0,0,0,0,0,0
6222,寄付金,0,0,"50,000",0,0,0,0,0,0,0,0,0
6223,接待交際費,"3,809","6,545","1,375","10,000",0,0,0,0,0,0,0,0
6224,保険料,"857,175","857,175","876,905","1,027,793",0,0,0,0,0,0,0,0
6225,備品消耗品費,"7,277,734","7,290,333","13,414,530","15,751,766",0,0,0,0,0,0,0,0
6227,管理諸費,"3,320,646","4,972,424","3,523,597","3,405,168",0,0,0,0,0,0,0,0
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,"234,800","185,000","62,500","53,300",0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,"36,500","19,400","3,957",0,0,0,0,0,0,0,0
6232,本社　指導料,0,0,0,0,0,0,0,0,0,0,0,0
