"ｺｰﾄﾞ","勘定科目名"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"
"4111","売上高","2,260,298","6,809,096","6,417,553","7,000,379","4,966,789","3,671,230","5,577,997","5,836,108","6,658,730","5,454,575","5,950,564","5,988,894"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","2,260,298","6,809,096","6,417,553","7,000,379","4,966,789","3,671,230","5,577,997","5,836,108","6,658,730","5,454,575","5,950,564","5,988,894"
"5111","期首棚卸高","0","422,550","180,938","213,445","289,127","407,745","419,583","446,282","521,376","459,698","490,004","479,290"
"5211","商品仕入高","1,566,693","1,816,405","1,936,280","2,248,644","1,279,235","1,012,106","1,827,415","1,808,623","1,863,082","1,701,522","1,962,916","1,855,935"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","422,511","180,938","213,445","289,127","407,745","419,583","446,282","521,376","459,698","490,004","479,290","531,218"
,"当期売上原価","1,144,182","2,058,017","1,903,773","2,172,962","1,160,617","1,000,268","1,800,716","1,733,529","1,924,760","1,671,216","1,973,630","1,804,007"
,"売上総利益","1,116,116","4,751,079","4,513,780","4,827,417","3,806,172","2,670,962","3,777,281","4,102,579","4,733,970","3,783,359","3,976,934","4,184,887"
"6111","給与手当","642,000","764,000","651,000","651,000","631,000","646,000","706,000","538,000","616,000","576,000","621,000","529,500"
"6311","雑給","1,682,802","2,066,129","1,428,461","1,732,623","1,501,832","1,440,495","1,692,601","1,296,619","1,461,835","1,351,290","1,182,995","1,204,028"
"6112","旅費交通費","257,290","165,872","128,025","147,320","114,654","81,236","133,546","104,145","113,927","105,545","107,919","92,100"
"6113","広告宣伝費","7,500","3,000","6,000","6,350","13,880","4,000","42,251","6,115","5,000","5,000","10,000","48,439"
