"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","6,417,553","7,000,379","4,966,789","3,671,230","5,577,997","5,836,108","6,658,730","5,454,575","5,950,564","5,988,894","5,589,228","5,745,393"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,417,553","7,000,379","4,966,789","3,671,230","5,577,997","5,836,108","6,658,730","5,454,575","5,950,564","5,988,894","5,589,228","5,745,393"
"5111","期首棚卸高","180,938","213,445","289,127","407,745","419,583","446,282","521,376","459,698","490,004","479,290","531,218","469,772"
"5211","商品仕入高","1,936,280","2,248,644","1,279,235","1,012,106","1,827,415","1,808,623","1,863,082","1,701,522","1,962,916","1,855,935","1,580,212","1,639,045"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","213,445","289,127","407,745","419,583","446,282","521,376","459,698","490,004","479,290","531,218","469,772","391,629"
,"当期売上原価","1,903,773","2,172,962","1,160,617","1,000,268","1,800,716","1,733,529","1,924,760","1,671,216","1,973,630","1,804,007","1,641,658","1,717,188"
,"売上総利益","4,513,780","4,827,417","3,806,172","2,670,962","3,777,281","4,102,579","4,733,970","3,783,359","3,976,934","4,184,887","3,947,570","4,028,205"
"6111","給与手当","651,000","651,000","631,000","646,000","706,000","538,000","616,000","576,000","621,000","529,500","403,000","403,000"
"6311","雑給","1,428,461","1,732,623","1,501,832","1,440,495","1,692,601","1,296,619","1,461,835","1,351,290","1,182,995","1,204,028","1,197,036","1,415,725"
"6112","旅費交通費","128,025","147,320","114,654","81,236","133,546","104,145","113,927","105,545","107,919","92,100","93,745","110,888"
"6113","広告宣伝費","6,000","6,350","13,880","4,000","42,251","6,115","5,000","5,000","10,000","48,439","114,733","98,618"
"6114","販売促進費","0","0","0","0","0","0","11,000","0","0","0","0","0"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","14,700","0","0","0","0","0","0","0","0"
"6117","支払手数料","844,627","659,401","561,261","469,914","617,018","579,217","688,835","364,174","660,261","656,914","649,726","665,655"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","60,000","0","0","0","0","144,200","80,750","80,750","80,750","80,750","53,833"
"6312","法定福利費","92,456","99,611","98,060","92,456","99,213","99,206","114,336","116,038","100,938","64,473","61,504","61,504"
"6226","厚生費","137,012","174,098","87,631","26,394","58,597","49,136","46,532","47,100","92,215","81,932","135,566","133,044"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","525,962","525,962","525,962","525,962","525,962","525,962","525,962","525,962","525,962","525,962","-180,019","458,807"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","609,800","665,176","598,356","598,356","598,356","598,356","632,691","598,356","598,356","598,356","598,356","598,356"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","13,729","965","1,907","946","955","1,382","987","4,003","980","1,283"
"6219","水道光熱費","255,501","281,435","265,794","241,945","254,661","313,187","339,672","342,461","391,613","385,782","383,612","373,428"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","76,972","25,000"
"6225","備品消耗品費","98,130","252,458","99,903","181,684","66,214","128,539","239,185","147,032","143,788","91,193","79,657","157,019"
"6227","管理諸費","123,500","13,500","25,500","19,500","28,550","25,500","43,536","27,318","29,818","25,500","28,550","25,500"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","30,000","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,925,474","5,293,934","4,562,562","4,368,607","4,849,876","4,289,928","5,008,666","4,313,408","4,601,602","4,413,932","3,724,168","4,581,660"
,"営業利益（損失）","-411,694","-466,517","-756,390","-1,697,645","-1,072,595","-187,349","-274,696","-530,049","-624,668","-229,045","223,402","-553,455"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","-1,980","0","0","152","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","821,580","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","-1,980","0","0","152","0","821,580","0"
,"経常利益（損失）","-411,694","-466,517","-756,390","-1,697,645","-1,072,595","-185,369","-274,696","-530,049","-624,820","-229,045","-598,178","-553,455"
