"ｺｰﾄﾞ","勘定科目名"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"
"4111","授業料等収入","19,466,324","851,916","820,994","-561,032","1,725,667","8,059,958","14,326,779","156,500","-10,413,131","1,552,518","5,468,569","5,015,235"
"4112","寮費等収入","4,356,000","1,140,000","240,000","1,193,000","918,500","2,123,000","3,737,000","-60,000","-2,546,500","1,446,500","1,135,125","780,000"
"4113","売上高","0","0","0","0","0","0","0","630,000","0","0","0","0"
"4114","民泊売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","23,822,324","1,991,916","1,060,994","631,968","2,644,167","10,182,958","18,063,779","726,500","-12,959,631","2,999,018","6,603,694","5,795,235"
"5111","期首たな卸高","482,100","0","0","0","0","0","0","0","870,000","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","600,000","0","0","0","0"
"5212","教材費等","27,000","1,017,835","300,603","44,401","78,273","0","39,525","1,051,195","25,089","286,309","39,187","53,000"
"5215","紹介手数料","120,000","1,039,091","400,000","0","0","0","0","200,000","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","870,000","1,075,900","0","0","0"
,"当期売上原価","629,100","2,056,926","700,603","44,401","78,273","0","39,525","981,195","-180,811","286,309","39,187","53,000"
,"売上総利益","23,193,224","-65,010","360,391","587,567","2,565,894","10,182,958","18,024,254","-254,695","-12,778,820","2,712,709","6,564,507","5,742,235"
"6111","給与手当","1,876,158","2,101,623","2,236,755","2,010,714","2,227,940","2,224,635","2,014,600","2,065,328","1,731,178","2,294,867","2,193,219","1,831,920"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","204,015","390,963","103,795","162,854","188,201","367,897","155,682","150,653","267,878","67,001","19,040","59,661"
"6113","広告宣伝費","10,491","175,491","10,300","10,300","50,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","59,195","115,691","34,191","751,291","63,191","62,273","52,791","54,591","76,859","42,658","52,882","61,291"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","350,000","0","0","0","0","625,539","0","0","240,000","0","0","0"
"6312","法定福利費","-434,214","365,921","212,337","286,151","273,529","253,529","367,009","285,764","912,098","0","316,995","768,963"
"6226","厚生費","44,777","952","4,880","76,230","-4,210","7,130","700","0","0","0","0","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","244,437","245,000","245,000","245,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","710,000","851,364","906,364","851,364","851,364","851,364","851,364","631,364","631,364","631,364","631,364","261,364"
"6216","修繕費","0","521,720","0","0","0","0","0","129,200","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","59,648","42,694","57,591","40,943","48,734","45,727","98,609","40,042","84,314","2,000","45,059","44,249"
"6219","水道光熱費","38,194","47,871","30,312","30,756","31,862","33,194","42,502","39,351","28,953","28,041","23,282","32,579"
"6221","租税公課","1,050","2,000","0","0","600","0","31,200","43,100","297,390","24,200","39,000","0"
"6222","寄付金","0","0","0","20,000","0","0","0","0","0","400","0","0"
"6223","接待交際費","4,800","0","0","3,575","0","18,870","0","0","0","0","29,000","0"
