日付,入館,入館割引,延長料金,個室・家族風呂,回数券販売,館内着・タオル類,物販10％,物販8％,温浴小計,飲食小計,その他小計,合計,大人　時間制（売上）,大人　時間制(人）,大人　時間制(客単価),大人　フリー（売上）,大人　フリー(人）,大人　フリー(客単価),子供　時間制（売上）,子供　時間制(人）,子供　時間制(客単価),子供　フリー（売上）,子供　フリー(人）,子供　フリー(客単価),回数券　時間制(人数）,回数券　フリー(人数),雄大関係（売上）,雄大関係(人）,雄大関係(客単価),特別割引,アソビュー,ニフティ　時間制,ニフティ　会員フリー,ゴルフ割引,レジャパス,JTB電子チケット,JAF割引,その他,入館割引,その他(未手続き),合計
2023年07月10日(月),127655,-7109,455,2000,26909,3509,1818,1324,156561,42279,0,198840,102255,152,673,23600,24,983,318,1,318,682,1,682,85,2,0,0,#DIV/0!,0,0,0,0,800,0,0,0,0,0,0,127655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
